CCDD Flag,Top 250 Ingred - no multiples,DPD Medicinal Ingredient (E),Ingredient Stem,Ref / Comments
Y,RIVASTIGMINE,RIVASTIGMINE,RIVASTIGMINE,
,,RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE),RIVASTIGMINE,
Y,RIZATRIPTAN,RIZATRIPTAN (RIZATRIPTAN BENZOATE),RIZATRIPTAN (RIZATRIPTAN BENZOATE),
,,ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,
,,ROMIPLOSTIM,ROMIPLOSTIM,
,,ROPINIROLE (ROPINIROLE HYDROCHLORIDE),ROPINIROLE (ROPINIROLE HYDROCHLORIDE),
,,ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,
,,ROSIGLITAZONE (ROSIGLITAZONE MALEATE),ROSIGLITAZONE (ROSIGLITAZONE MALEATE),
Y,ROSUVASTATIN,ROSUVASTATIN (ROSUVASTATIN CALCIUM),ROSUVASTATIN ,
,,"ROTAVIRUS VACCINE (RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN)","ROTAVIRUS VACCINE (RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN)",
,,ROTIGOTINE,ROTIGOTINE,
,,RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN),RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN),
,,RUFINAMIDE,RUFINAMIDE,
,,RUPATADINE (RUPATADINE FUMARATE),RUPATADINE (RUPATADINE FUMARATE),
,,Recombinant Neisseria meningitidis group B NHBA fusion protein,Recombinant Neisseria meningitidis group B NHBA fusion protein,
,,Recombinant Neisseria meningitidis group B NadA protein,Recombinant Neisseria meningitidis group B NadA protein,
,,Recombinant Neisseria meningitidis group B fHBP fusion protein,Recombinant Neisseria meningitidis group B fHBP fusion protein,
,,Regorafenib,Regorafenib,
,,Romidepsin,Romidepsin,
,,Ruxolitinib (Ruxolitinib Phosphate),Ruxolitinib (Ruxolitinib Phosphate),
Y,SALBUTAMOL,SALBUTAMOL,SALBUTAMOL,
Y,SALBUTAMOL,SALBUTAMOL (SALBUTAMOL SULFATE),SALBUTAMOL ,
,,SALICYLIC ACID,SALICYLIC ACID,
Y,SALMETEROL,SALMETEROL (SALMETEROL XINAFOATE),SALMETEROL (SALMETEROL XINAFOATE),
,,SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE,SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE,
,,SAPROPTERIN DIHYDROCHLORIDE,SAPROPTERIN DIHYDROCHLORIDE,
,,SAQUINAVIR (SAQUINAVIR MESYLATE),SAQUINAVIR (SAQUINAVIR MESYLATE),
,,SARILUMAB,SARILUMAB,
Y,SAXAGLIPTIN,SAXAGLIPTIN (SAXAGLIPTIN HYDROCHLORIDE),SAXAGLIPTIN ,
,,SCOPOLAMINE HYDROBROMIDE,SCOPOLAMINE HYDROBROMIDE,
,,SELEGILINE HYDROCHLORIDE,SELEGILINE HYDROCHLORIDE,
,,SELENIUM (SELENIOUS ACID),SELENIUM (SELENIOUS ACID),
,,SELENIUM (SELENIUM HVP CHELATE),SELENIUM (SELENIUM HVP CHELATE),
,,SELEXIPAG,SELEXIPAG,
,,SENNOSIDES,SENNOSIDES,
,,SENNOSIDES (SENNA),SENNOSIDES (SENNA),
,,SERINE,SERINE,
Y,SERTRALINE,SERTRALINE (SERTRALINE HYDROCHLORIDE),SERTRALINE ,
,,SEVELAMER HYDROCHLORIDE,SEVELAMER HYDROCHLORIDE,
,,SEVOFLURANE,SEVOFLURANE,
Y,SILDENAFIL,SILDENAFIL (SILDENAFIL CITRATE),SILDENAFIL (SILDENAFIL CITRATE),
,,SILICON DIOXIDE,SILICON DIOXIDE,
,,SILICONE,SILICONE,
,,SILTUXIMAB,SILTUXIMAB,
,,SILVER SULFADIAZINE,SILVER SULFADIAZINE,
,,SIMETHICONE,SIMETHICONE,
,,SIMOCTOCOG ALFA,SIMOCTOCOG ALFA,
Y,SIMVASTATIN,SIMVASTATIN,SIMVASTATIN,
,,SINCALIDE,SINCALIDE,
,,SIROLIMUS,SIROLIMUS,
Y,SITAGLIPTIN,SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE),SITAGLIPTIN,
,,SODIUM ACETATE,SODIUM ACETATE,
,,SODIUM ACETATE TRIHYDRATE,SODIUM ACETATE TRIHYDRATE,
,,SODIUM ASCORBATE,SODIUM ASCORBATE,
,,SODIUM BICARBONATE,SODIUM BICARBONATE,
,,SODIUM BISULFITE,SODIUM BISULFITE,
,,SODIUM CARBONATE (ANHYDROUS),SODIUM CARBONATE (ANHYDROUS),
,,SODIUM CARBOXYMETHYL CELLULOSE,SODIUM CARBOXYMETHYL CELLULOSE,
,,SODIUM CHLORIDE,SODIUM CHLORIDE,
,,SODIUM CITRATE,SODIUM CITRATE,
,,SODIUM CITRATE DIHYDRATE,SODIUM CITRATE DIHYDRATE,
,,SODIUM FLUORIDE,SODIUM FLUORIDE,
,,SODIUM GLUCONATE,SODIUM GLUCONATE,
,,SODIUM GLYCEROPHOSPHATE,SODIUM GLYCEROPHOSPHATE,
,,SODIUM HYPOCHLORITE,SODIUM HYPOCHLORITE,
,,SODIUM IODIDE,SODIUM IODIDE,
,,SODIUM IOXITALAMATE,SODIUM IOXITALAMATE,
,,SODIUM LACTATE,SODIUM LACTATE,
,,SODIUM LAURYL SULFOACETATE,SODIUM LAURYL SULFOACETATE,
,,SODIUM NITRITE,SODIUM NITRITE,
,,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,
,,SODIUM OXYBATE,SODIUM OXYBATE,
,,SODIUM PHOSPHATE DIBASIC,SODIUM PHOSPHATE DIBASIC,
,,SODIUM PHOSPHATE MONOBASIC,SODIUM PHOSPHATE MONOBASIC,
,,"SODIUM PHOSPHATE MONOBASIC, MONOHYDRATE","SODIUM PHOSPHATE MONOBASIC, MONOHYDRATE",
,,SODIUM PICOSULFATE,SODIUM PICOSULFATE,
,,SODIUM POLYSTYRENE SULFONATE,SODIUM POLYSTYRENE SULFONATE,
,,SODIUM SALICYLATE,SODIUM SALICYLATE,
,,SODIUM SULFATE,SODIUM SULFATE,
,,SODIUM TETRADECYL SULFATE,SODIUM TETRADECYL SULFATE,
,,SODIUM THIOSULFATE,SODIUM THIOSULFATE,
,,SOFOSBUVIR,SOFOSBUVIR,
Y,SOLIFENACIN,SOLIFENACIN SUCCINATE,SOLIFENACIN,
,,SOMATROPIN,SOMATROPIN,
,,SORAFENIB (SORAFENIB TOSYLATE),SORAFENIB (SORAFENIB TOSYLATE),
,,SORBITOL,SORBITOL,
,,SOTALOL HYDROCHLORIDE,SOTALOL HYDROCHLORIDE,
,,SOYBEAN OIL,SOYBEAN OIL,
,,SPIRAMYCIN,SPIRAMYCIN,
Y,SPIRONOLACTONE,SPIRONOLACTONE,SPIRONOLACTONE,
,,STANDARDIZED BERMUDA GRASS POLLEN,STANDARDIZED BERMUDA GRASS POLLEN,
,,STANDARDIZED CAT HAIR ACETONE PRECIPITATED,STANDARDIZED CAT HAIR ACETONE PRECIPITATED,
,,STANDARDIZED CAT PELT,STANDARDIZED CAT PELT,
,,STANDARDIZED CAT PELT ACETONE PRECIPITATED,STANDARDIZED CAT PELT ACETONE PRECIPITATED,
,,STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN,STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN,
,,STANDARDIZED MEADOW FESCUE GRASS POLLEN,STANDARDIZED MEADOW FESCUE GRASS POLLEN,
,,STANDARDIZED ORCHARD GRASS POLLEN,STANDARDIZED ORCHARD GRASS POLLEN,
,,STANDARDIZED PERENNIAL RYE GRASS POLLEN,STANDARDIZED PERENNIAL RYE GRASS POLLEN,
,,STANDARDIZED REDTOP GRASS POLLEN,STANDARDIZED REDTOP GRASS POLLEN,
,,STANDARDIZED SWEET VERNAL GRASS POLLEN,STANDARDIZED SWEET VERNAL GRASS POLLEN,
,,STANDARDIZED TIMOTHY GRASS POLLEN,STANDARDIZED TIMOTHY GRASS POLLEN,
,,STARCH,STARCH,
,,STAVUDINE,STAVUDINE,
,,STORAX,STORAX,
,,STREPTOMYCIN (STREPTOMYCIN SULFATE),STREPTOMYCIN (STREPTOMYCIN SULFATE),
,,STREPTOZOCIN,STREPTOZOCIN,
,,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE,
,,SUCRALFATE,SUCRALFATE,
,,SUFENTANIL (SUFENTANIL CITRATE),SUFENTANIL (SUFENTANIL CITRATE),
,,SUGAMMADEX (SUGAMMADEX SODIUM),SUGAMMADEX (SUGAMMADEX SODIUM),
,,SULFACETAMIDE SODIUM,SULFACETAMIDE SODIUM,
,,SULFAMETHOXAZOLE,SULFAMETHOXAZOLE,
Y,MESALAMINE,SULFASALAZINE,SULFASALAZINE,
,,SULFINPYRAZONE,SULFINPYRAZONE,
,,SULFISOXAZOLE,SULFISOXAZOLE,
,,SULFISOXAZOLE (SULFISOXAZOLE ACETYL),SULFISOXAZOLE (SULFISOXAZOLE ACETYL),
,,SULFUR,SULFUR,
,,SULFUR HEXAFLUORIDE,SULFUR HEXAFLUORIDE,
,,SULINDAC,SULINDAC,
,,SULISOBENZONE,SULISOBENZONE,
Y,SUMATRIPTAN,SUMATRIPTAN (SUMATRIPTAN HEMISULFATE),SUMATRIPTAN,
Y,SUMATRIPTAN,SUMATRIPTAN (SUMATRIPTAN SUCCINATE),SUMATRIPTAN,
,,SUNITINIB (SUNITINIB MALATE),SUNITINIB (SUNITINIB MALATE),
,,SURFACTANT-ASSOCIATED PROTEINS SP-B AND SP-C,SURFACTANT-ASSOCIATED PROTEINS SP-B AND SP-C,
,,SWEET VERNAL GRASS,SWEET VERNAL GRASS,
,,Secukinumab,Secukinumab,
,,Sevelamer Carbonate,Sevelamer Carbonate,
,,Sinecatechins,Sinecatechins,
,,Sodium Sulfate Anhydrous,Sodium Sulfate Anhydrous,
,,Sodium phenylbutyrate,Sodium phenylbutyrate,
,,Stiripentol,Stiripentol,
Y,TACROLIMUS,TACROLIMUS,TACROLIMUS,
,,TACROLIMUS (Tacrolimus Monohydrate),TACROLIMUS (Tacrolimus Monohydrate),
Y,TADALAFIL,TADALAFIL,TADALAFIL,
,,TAMOXIFEN (TAMOXIFEN CITRATE),TAMOXIFEN (TAMOXIFEN CITRATE),
Y,TAMSULOSIN,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN,
,,TAURINE,TAURINE,
,,TAZAROTENE,TAZAROTENE,
,,TAZOBACTAM (TAZOBACTAM SODIUM),TAZOBACTAM (TAZOBACTAM SODIUM),
,,TELAVANCIN (TELAVANCIN HYDROCHLORIDE),TELAVANCIN (TELAVANCIN HYDROCHLORIDE),
,,TELBIVUDINE,TELBIVUDINE,
Y,TELMISARTAN,TELMISARTAN,TELMISARTAN,
Y,TELMISARTAN,TELMISARTAN (TELMISARTAN SODIUM),TELMISARTAN,
Y,TEMAZEPAM,TEMAZEPAM,TEMAZEPAM,
,,TEMOZOLOMIDE,TEMOZOLOMIDE,
,,TEMSIROLIMUS,TEMSIROLIMUS,
,,TENECTEPLASE,TENECTEPLASE,
,,TENIPOSIDE,TENIPOSIDE,
,,TENOFOVIR ALAFENAMIDE (TENOFOVIR ALAFENAMIDE HEMIFUMARATE),TENOFOVIR ALAFENAMIDE (TENOFOVIR ALAFENAMIDE HEMIFUMARATE),
,,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,
,,TENOXICAM,TENOXICAM,
Y,TERAZOSIN,TERAZOSIN (TERAZOSIN HYDROCHLORIDE),TERAZOSIN,
Y,TERBINAFINE,TERBINAFINE (TERBINAFINE HYDROCHLORIDE),TERBINAFINE,
Y,TERBINAFINE,TERBINAFINE HYDROCHLORIDE,TERBINAFINE,
,,TERBUTALINE SULFATE,TERBUTALINE SULFATE,
,,TERCONAZOLE,TERCONAZOLE,
,,TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID,TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID,
,,TERIPARATIDE,TERIPARATIDE,
Y,TESTOSTERONE,TESTOSTERONE,TESTOSTERONE,
Y,TESTOSTERONE,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,
Y,TESTOSTERONE,TESTOSTERONE ENANTHATE,TESTOSTERONE ENANTHATE,
Y,TESTOSTERONE,TESTOSTERONE UNDECANOATE,TESTOSTERONE UNDECANOATE,
,,TETANUS IMMUNE GLOBULIN (HUMAN),TETANUS IMMUNE GLOBULIN (HUMAN),
,,TETANUS PROTEIN,TETANUS PROTEIN,
,,TETANUS TOXOID,TETANUS TOXOID,
,,TETANUS TOXOID ADSORBED,TETANUS TOXOID ADSORBED,
,,TETRABENAZINE,TETRABENAZINE,
,,TETRACAINE,TETRACAINE,
,,TETRACAINE (TETRACAINE HYDROCHLORIDE),TETRACAINE (TETRACAINE HYDROCHLORIDE),
,,TETRACAINE HYDROCHLORIDE,TETRACAINE HYDROCHLORIDE,
,,TETRACOSACTIDE,TETRACOSACTIDE,
,,TETRACOSACTIDE (Tetracosactide zinc hydroxide),TETRACOSACTIDE (Tetracosactide zinc hydroxide),
,,TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,
,,TETRAHYDROZOLINE HYDROCHLORIDE,TETRAHYDROZOLINE HYDROCHLORIDE,
,,THALIDOMIDE,THALIDOMIDE,
,,THEOPHYLLINE,THEOPHYLLINE,
,,THIAMAZOLE,THIAMAZOLE,
,,THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE,
,,THIOPENTAL SODIUM,THIOPENTAL SODIUM,
,,THIOPROPERAZINE (THIOPROPERAZINE MESYLATE),THIOPROPERAZINE (THIOPROPERAZINE MESYLATE),
,,THIOTHIXENE,THIOTHIXENE,
,,THREONINE,THREONINE,
,,THROMBIN (HUMAN),THROMBIN (HUMAN),
,,THYMOL,THYMOL,
,,THYROID,THYROID,
,,THYROTROPIN ALFA,THYROTROPIN ALFA,
,,TIAPROFENIC ACID,TIAPROFENIC ACID,
,,TICLOPIDINE HYDROCHLORIDE,TICLOPIDINE HYDROCHLORIDE,
,,TIGECYCLINE,TIGECYCLINE,
Y,TIMOLOL,TIMOLOL (TIMOLOL MALEATE),TIMOLOL,
Y,TIMOLOL,TIMOLOL MALEATE,TIMOLOL,
,,TINZAPARIN SODIUM,TINZAPARIN SODIUM,
Y,TIOTROPIUM BROMIDE,TIOTROPIUM (TIOTROPIUM BROMIDE MONOHYDRATE),TIOTROPIUM,
,,TIPRANAVIR,TIPRANAVIR,
,,TIROFIBAN (TIROFIBAN HYDROCHLORIDE),TIROFIBAN (TIROFIBAN HYDROCHLORIDE),
,,TITANIUM DIOXIDE,TITANIUM DIOXIDE,
,,TIZANIDINE (TIZANIDINE HYDROCHLORIDE),TIZANIDINE (TIZANIDINE HYDROCHLORIDE),
Y,TOBRAMYCIN,TOBRAMYCIN,TOBRAMYCIN,
Y,TOBRAMYCIN,TOBRAMYCIN (TOBRAMYCIN SULFATE),TOBRAMYCIN,
,,TOCILIZUMAB,TOCILIZUMAB,
,,TOLBUTAMIDE,TOLBUTAMIDE,
,,TOLNAFTATE,TOLNAFTATE,
Y,TOLTERODINE,TOLTERODINE TARTRATE,TOLTERODINE ,
Y,TOPIRAMATE,TOPIRAMATE,TOPIRAMATE,
,,TOPOTECAN (TOPOTECAN HYDROCHLORIDE),TOPOTECAN,
,,TRABECTEDIN,TRABECTEDIN,
Y,TRAMADOL,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,
Y,TRANDOLAPRIL,TRANDOLAPRIL,TRANDOLAPRIL,
,,TRANEXAMIC ACID,TRANEXAMIC ACID,
,,TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE),TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE),
,,TRASTUZUMAB,TRASTUZUMAB,
,,TRASTUZUMAB EMTANSINE,TRASTUZUMAB EMTANSINE,
Y,TRAVOPROST,TRAVOPROST,TRAVOPROST,
Y,TRAZODONE,TRAZODONE HYDROCHLORIDE,TRAZODONE ,
,,TREPROSTINIL (TREPROSTINIL SODIUM),TREPROSTINIL (TREPROSTINIL SODIUM),
,,TRETINOIN,TRETINOIN,
Y,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,
Y,TRIAMTERENE,TRIAMTERENE,TRIAMTERENE,
,,TRIAZOLAM,TRIAZOLAM,
,,TRICLOSAN,TRICLOSAN,
,,TRIFLUOPERAZINE (TRIFLUOPERAZINE HYDROCHLORIDE),TRIFLUOPERAZINE (TRIFLUOPERAZINE HYDROCHLORIDE),
,,TRIFLURIDINE,TRIFLURIDINE,
,,TRIHEXYPHENIDYL HYDROCHLORIDE,TRIHEXYPHENIDYL HYDROCHLORIDE,
,,TRIMEBUTINE MALEATE,TRIMEBUTINE MALEATE,
,,TRIMEPRAZINE (TRIMEPRAZINE TARTRATE),TRIMEPRAZINE (TRIMEPRAZINE TARTRATE),
Y,TRIMETHOPRIM,TRIMETHOPRIM,TRIMETHOPRIM,
Y,TRIMETHOPRIM,TRIMETHOPRIM (TRIMETHOPRIM SULFATE),TRIMETHOPRIM,
,,TRIMIPRAMINE (TRIMIPRAMINE MALEATE),TRIMIPRAMINE (TRIMIPRAMINE MALEATE),
,,TRIPELENNAMINE HYDROCHLORIDE,TRIPELENNAMINE HYDROCHLORIDE,
,,TRIPROLIDINE HYDROCHLORIDE,TRIPROLIDINE HYDROCHLORIDE,
,,TRIPTORELIN (TRIPTORELIN PAMOATE),TRIPTORELIN (TRIPTORELIN PAMOATE),
,,TROLAMINE SALICYLATE,TROLAMINE SALICYLATE,
,,TROMETAMOL,TROMETAMOL,
,,TROPICAMIDE,TROPICAMIDE,
,,TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,
,,TRYPAN BLUE,TRYPAN BLUE,
,,TRYPTOPHAN,TRYPTOPHAN,
,,TYPHOID VACCINE (SALMONELLA TYPHI TY21A),TYPHOID VACCINE (SALMONELLA TYPHI TY21A),
,,TYROSINE,TYROSINE,
,,Taliglucerase Alfa,Taliglucerase Alfa,
,,Teriflunomide,Teriflunomide,
,,Tesamorelin (Tesamorelin acetate),Tesamorelin (Tesamorelin acetate),
,,Ticagrelor,Ticagrelor,
,,Tofacitinib (Tofacitinib citrate),Tofacitinib (Tofacitinib citrate),
,,Tolvaptan,Tolvaptan,
,,Trametinib,Trametinib,
,,Triptorelin Acetate,Triptorelin Acetate,
,,UREA,UREA,
,,URSODIOL,URSODIOL,
,,USTEKINUMAB,USTEKINUMAB,
,,Ulipristal Acetate,Ulipristal Acetate,
,,Umeclidinium (Umeclidinium bromide),Umeclidinium (Umeclidinium bromide),
Y,VALACYCLOVIR,VALACYCLOVIR (VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE),VALACYCLOVIR,
Y,VALACYCLOVIR,VALACYCLOVIR (VALACYCLOVIR HYDROCHLORIDE),VALACYCLOVIR,
,,VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE),VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE),
,,VALINE,VALINE,
Y,VALPROIC ACID,VALPROIC ACID,VALPROIC ACID,
Y,DIVALPROEX,VALPROIC ACID (DIVALPROEX SODIUM),VALPROIC ACID,
Y,VALPROIC ACID,VALPROIC ACID (SODIUM VALPROATE),VALPROIC ACID ,
Y,VALSARTAN,VALSARTAN,VALSARTAN,
,,VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE),VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE),
,,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,
,,VARDENAFIL (VARDENAFIL HYDROCHLORIDE),VARDENAFIL (VARDENAFIL HYDROCHLORIDE),
Y,VARENICLINE,VARENICLINE (VARENICLINE TARTRATE),VARENICLINE,
,,VARICELLA ZOSTER IMMUNE GLOBULIN HUMAN,VARICELLA ZOSTER IMMUNE GLOBULIN HUMAN,
,,VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED (OKA/MERCK STRAIN),VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED (OKA/MERCK STRAIN),
,,VASOPRESSIN,VASOPRESSIN,
,,VECURONIUM BROMIDE,VECURONIUM BROMIDE,
,,VELAGLUCERASE ALFA,VELAGLUCERASE ALFA,
,,VELPATASVIR,VELPATASVIR,
,,VENETOCLAX,VENETOCLAX,
Y,VENLAFAXINE,VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE),VENLAFAXINE,
Y,VERAPAMIL,VERAPAMIL HYDROCHLORIDE,VERAPAMIL,
,,VERTEPORFIN,VERTEPORFIN,
,,VESPULA SPP VENOM PROTEIN EXTRACT,VESPULA SPP VENOM PROTEIN EXTRACT,
,,"VIBRIO CHOLERAE INABA 48 CLASSICAL BIOTYPE, HEAT INACTIVATED","VIBRIO CHOLERAE INABA 48 CLASSICAL BIOTYPE, HEAT INACTIVATED",
,,"VIBRIO CHOLERAE INABA 6973 E1 TOR BIOTYPE, FORMALIN INACTIVATED","VIBRIO CHOLERAE INABA 6973 E1 TOR BIOTYPE, FORMALIN INACTIVATED",
,,"VIBRIO CHOLERAE OGAWA 50 CLASSICAL BIOTYPE, FORMALIN INACTIVATED","VIBRIO CHOLERAE OGAWA 50 CLASSICAL BIOTYPE, FORMALIN INACTIVATED",
,,"VIBRIO CHOLERAE OGAWA 50 CLASSICAL BIOTYPE, HEAT INACTIVATED","VIBRIO CHOLERAE OGAWA 50 CLASSICAL BIOTYPE, HEAT INACTIVATED",
,,VIGABATRIN,VIGABATRIN,
,,VINBLASTINE SULFATE,VINBLASTINE SULFATE,
,,VINCRISTINE SULFATE,VINCRISTINE SULFATE,
,,VINORELBINE (VINORELBINE TARTRATE),VINORELBINE (VINORELBINE TARTRATE),
,,VITAMIN A,VITAMIN A,
,,VITAMIN A (RETINOL PALMITATE),VITAMIN A (RETINOL PALMITATE),
,,VITAMIN A (RETINYL PALMITATE),VITAMIN A (RETINYL PALMITATE),
,,VITAMIN B1,VITAMIN B1,
,,VITAMIN B1 (THIAMINE HYDROCHLORIDE),VITAMIN B1 (THIAMINE HYDROCHLORIDE),
,,VITAMIN B1 (THIAMINE MONONITRATE),VITAMIN B1 (THIAMINE MONONITRATE),
,,VITAMIN B12,VITAMIN B12,
,,VITAMIN B12 (CYANOCOBALAMIN),VITAMIN B12 (CYANOCOBALAMIN),
,,VITAMIN B12 (VITAMIN B12),VITAMIN B12 (VITAMIN B12),
,,VITAMIN B2,VITAMIN B2,
,,VITAMIN B2 (RIBOFLAVIN 5'-PHOSPHATE SODIUM),VITAMIN B2 (RIBOFLAVIN 5'-PHOSPHATE SODIUM),
,,VITAMIN B2 (RIBOFLAVIN),VITAMIN B2 (RIBOFLAVIN),
,,VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE),VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE),
,,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),
,,VITAMIN C,VITAMIN C,
,,VITAMIN C (ASCORBIC ACID),VITAMIN C (ASCORBIC ACID),
,,VITAMIN C (CALCIUM ASCORBATE),VITAMIN C (CALCIUM ASCORBATE),
,,VITAMIN C (SODIUM ASCORBATE),VITAMIN C (SODIUM ASCORBATE),
,,VITAMIN D,VITAMIN D,
,,VITAMIN D (VITAMIN D3),VITAMIN D (VITAMIN D3),
,,VITAMIN D2,VITAMIN D2,
Y,VITAMIN D3,VITAMIN D3,VITAMIN D3,
Y,VITAMIN D3,VITAMIN D3 (CHOLECALCIFEROL),VITAMIN D3 (CHOLECALCIFEROL),
,,VITAMIN E,VITAMIN E,
,,VITAMIN E (D-ALPHA TOCOPHERYL ACETATE),VITAMIN E (D-ALPHA TOCOPHERYL ACETATE),
,,VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE),VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE),
,,VITAMIN K1,VITAMIN K1,
,,VON WILLEBRAND FACTOR (HUMAN),VON WILLEBRAND FACTOR (HUMAN),
,,VORICONAZOLE,VORICONAZOLE,
,,VORINOSTAT,VORINOSTAT,
,,VORTIOXETINE (VORTIOXETINE HYDROBROMIDE),VORTIOXETINE (VORTIOXETINE HYDROBROMIDE),
,,Vedolizumab,Vedolizumab,
,,Vemurafenib,Vemurafenib,
,,Vilanterol (Vilanterol trifenatate),Vilanterol (Vilanterol trifenatate),
,,Vismodegib,Vismodegib,
Y,WARFARIN,WARFARIN SODIUM,WARFARIN SODIUM,
,,WASP VENOM PROTEIN,WASP VENOM PROTEIN,
,,WATER,WATER,
,,WHITE FACED HORNET VENOM PROTEIN,WHITE FACED HORNET VENOM PROTEIN,
,,WHITE PETROLATUM,WHITE PETROLATUM,
,,XYLOMETAZOLINE HYDROCHLORIDE,XYLOMETAZOLINE HYDROCHLORIDE,
,,YELLOW FEVER VACCINE,YELLOW FEVER VACCINE,
,,YELLOW HORNET VENOM PROTEIN,YELLOW HORNET VENOM PROTEIN,
,,YELLOW JACKET VENOM PROTEIN,YELLOW JACKET VENOM PROTEIN,
,,YOHIMBINE HYDROCHLORIDE,YOHIMBINE HYDROCHLORIDE,
,,ZAFIRLUKAST,ZAFIRLUKAST,
,,ZANAMIVIR,ZANAMIVIR,
,,ZIDOVUDINE,ZIDOVUDINE,
,,ZINC (ZINC GLUCONATE),ZINC (ZINC GLUCONATE),
,,ZINC (ZINC OXIDE),ZINC (ZINC OXIDE),
,,ZINC (ZINC SULFATE),ZINC (ZINC SULFATE),
,,ZINC ACETATE,ZINC ACETATE,
,,ZINC CHLORIDE,ZINC CHLORIDE,
,,ZINC OXIDE,ZINC OXIDE,
,,ZINC SULFATE,ZINC SULFATE,
,,ZINC SULFATE HEPTAHYDRATE,ZINC SULFATE HEPTAHYDRATE,
,,ZIPRASIDONE (ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE),ZIPRASIDONE (ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE),
,,ZOLEDRONIC ACID (Zoledronic acid monohydrate),ZOLEDRONIC ACID (Zoledronic acid monohydrate),
,,ZOLMITRIPTAN,ZOLMITRIPTAN,
,,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,
Y,ZOPICLONE,ZOPICLONE,ZOPICLONE,4:40:20 PM
,,ZUCLOPENTHIXOL (ZUCLOPENTHIXOL HYDROCHLORIDE),ZUCLOPENTHIXOL (ZUCLOPENTHIXOL HYDROCHLORIDE),
,,ZUCLOPENTHIXOL ACETATE,ZUCLOPENTHIXOL ACETATE,
,,ZUCLOPENTHIXOL DECANOATE,ZUCLOPENTHIXOL DECANOATE,
,,Zinc sulfate monohydrate,Zinc sulfate monohydrate,
,,azelastine hydrochloride,azelastine hydrochloride,
,,simeprevir (Simeprevir sodium),simeprevir (Simeprevir sodium),
,DEXLANSOPRAZOLE,,,no matching record found
,,"Jul 17, 2017","42,933",
