Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
CASCARA!SENNOSIDES A&B, 144 ,0.00%,100.00%,,,,
CASEIN," 1,550 ",0.00%,99.96%,,,,
CASPOFUNGIN, 327 ,0.00%,99.99%,,,,
CASSIA AURICULATA," 53,228 ",0.01%,98.71%,,,,
CASTOR FIBER, 67 ,0.00%,100.00%,,,,
CEFACLOR, 404 ,0.00%,99.99%,,,,
CEFADROXIL," 145,489 ",0.02%,96.46%,IN QA,,,
CEFAZOLIN," 28,359 ",0.00%,99.37%,,,,
CEFEPIME, 8 ,0.00%,100.00%,,,,
CEFIXIME," 102,689 ",0.02%,97.48%,,,,
CEFOTAXIME, 60 ,0.00%,100.00%,,,,
CEFOXITIN, 320 ,0.00%,99.99%,,,,
CEFPROZIL," 439,199 ",0.07%,89.89%,IN,Rev Bur,low,
CEFTAZIDIME," 3,019 ",0.00%,99.93%,,,,
CEFTRIAXONE," 31,582 ",0.00%,99.28%,,,,
CEFUROXIME," 168,310 ",0.03%,95.81%,IN QA,,,
CEFUROXIME AXETIL," 202,836 ",0.03%,94.95%,IN QA,,,
CELECOXIB," 2,435,294 ",0.38%,60.94%,IN,,,
CEPHALEXIN," 1,822,270 ",0.29%,68.43%,IN,Rev Bur,low,
CERITINIB, 121 ,0.00%,100.00%,,,,
CERTOLIZUMAB PEGOL," 17,435 ",0.00%,99.61%,,,,
CETASTEARYL   ALCOHOL, 10 ,0.00%,100.00%,,,,
CETIRIZINE," 1,216,940 ",0.19%,76.36%,IN,,,
CETIRIZINE!PSEUDOEPHEDRINE, 690 ,0.00%,99.98%,,,,
CETRIMONIUM!CHLORHEXIDINE, -   ,0.00%,100.00%,,,,
CETRORELIX," 10,098 ",0.00%,99.78%,,,,
CETUXIMAB, -   ,0.00%,100.00%,,,,
CETYL ALCOHOL!LAURYLSULFURIC ACID!STEARYL ALCOHOL, 282 ,0.00%,99.99%,,,,
CETYLPYRIDINIUM, 861 ,0.00%,99.98%,,,,
CETYLPYRIDINIUM!FLUORIDE, 1 ,0.00%,100.00%,,,,
CETYLPYRIDINIUM!SODIUM, -   ,0.00%,100.00%,,,,
CHARCOAL, 48 ,0.00%,100.00%,,,,
CHARCOAL!SORBITOL, 16 ,0.00%,100.00%,,,,
CHLOPHEDIANOL," 30,004 ",0.00%,99.31%,,,,
CHLORAL HYDRATE," 13,431 ",0.00%,99.71%,IN QA,,,
CHLORAMBUCIL," 6,240 ",0.00%,99.86%,,,,
CHLORAMPHENICOL, 51 ,0.00%,100.00%,,,,
CHLORAMPHENICOL!HYDROCORTISONE, -   ,0.00%,100.00%,,,,
CHLORBUTOL!DEXAMETHASONE!TOBRAMYCIN," 128,848 ",0.02%,96.65%,,,,
CHLORBUTOL!P-DICHLOROBENZENE," 13,732 ",0.00%,99.70%,,,,
CHLORDIAZEPOXIDE," 49,925 ",0.01%,98.79%,,,,
CHLORDIAZEPOXIDE!CLIDINIUM," 31,163 ",0.00%,99.29%,,,,
CHLORHEXIDINE," 607,234 ",0.10%,87.55%,IN,Rev Bur,high,not published
CHLORHEXIDINE!COAL TAR, -   ,0.00%,100.00%,,,,
CHLORHEXIDINE!ISOPROPYL ALCOHOL," 1,268 ",0.00%,99.97%,,,,
CHLORHEXIDINE!LIDOCAINE, 382 ,0.00%,99.99%,,,,
CHLORHEXIDINE!POLYAMINOPROPYL BIGUANIDE, 62 ,0.00%,100.00%,,,,
CHLORHEXIDINE!SULFADIAZINE, -   ,0.00%,100.00%,,,,
CHLORMEZANONE, -   ,0.00%,100.00%,,,,
CHLOROCRESOL!PETROLATUM," 50,664 ",0.01%,98.77%,,,,
CHLOROPROCAINE, -   ,0.00%,100.00%,,,,
CHLOROQUINE," 56,754 ",0.01%,98.61%,,,,
CHLOROTHIAZIDE!METHYLDOPA, 2 ,0.00%,100.00%,,,,
CHLOROTRIANISENE, -   ,0.00%,100.00%,,,,
CHLOROXYLENOL, 60 ,0.00%,100.00%,,,,
CHLOROXYLENOL!COAL TAR!MENTHOL, 53 ,0.00%,100.00%,,,,
CHLOROXYLENOL!MENTHOL, 189 ,0.00%,100.00%,,,,
CHLORPHENIRAMINE," 5,691 ",0.00%,99.86%,,,,
CHLORPHENIRAMINE!CODEINE!EPHEDRINE!GUAIACOL!PHENYLTOLOXAMINE, -   ,0.00%,100.00%,,,,
CHLORPHENIRAMINE!DEXTROMETHORPHAN, 232 ,0.00%,100.00%,,,,
CHLORPHENIRAMINE!DEXTROMETHORPHAN!PSEUDOEPHEDRINE, 1 ,0.00%,100.00%,,,,
CHLORPHENIRAMINE!IBUPROFEN!PSEUDOEPHEDRINE, 756 ,0.00%,99.98%,,,,
CHLORPHENIRAMINE!PHENYLPROPANOLAMINE, -   ,0.00%,100.00%,,,,
CHLORPHENIRAMINE!PSEUDOEPHEDRINE, -   ,0.00%,100.00%,,,,
CHLORPHENOXAMINE, -   ,0.00%,100.00%,,,,
CHLORPROMAZINE," 140,000 ",0.02%,96.53%,,,,
CHLORPROPAMIDE," 1,381 ",0.00%,99.97%,,,,
CHLORTHALIDONE," 236,135 ",0.04%,94.40%,IN,,,
CHOLECALCIFEROL," 10,855,285 ",1.70%,18.77%,QUERY,,,
CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!PICOLAMINE!PYRIDOXINE!VITAMIN A!VITAMIN E, 57 ,0.00%,100.00%,,,,
CHOLECALCIFEROL!EGGSHELL MEMBRANE, 5 ,0.00%,100.00%,,,,
CHOLECALCIFEROL!EUPHAUSIA SUPERBA!UBIDECARENONE, -   ,0.00%,100.00%,,,,
CHOLECALCIFEROL!FISH, 283 ,0.00%,99.99%,,,,
CHOLECALCIFEROL!LANOLIN!VITAMIN A, -   ,0.00%,100.00%,,,,
CHOLECALCIFEROL!MAGNESIUM!PHYTONADIONE, 17 ,0.00%,100.00%,,,,
CHOLECALCIFEROL!VITAMIN A, 3 ,0.00%,100.00%,,,,
CHOLESTEROL, 678 ,0.00%,99.99%,,,,
CHOLESTYRAMINE," 182,874 ",0.03%,95.34%,,,,
CHOLINE!INOSITOL!NIACINAMIDE!PIPRADROL!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 3,661 ",0.00%,99.92%,,,,
CHONDROITIN!DIMETHYLSULFONE!GLUCOSAMINE, -   ,0.00%,100.00%,,,,
CHONDROITINASE!DIMETHYLSULFONE!N-ACETYLGLUCOSAMINE!SALICYLIC ACID, -   ,0.00%,100.00%,,,,
CHORIOGONADOTROPIN ALFA," 21,227 ",0.00%,99.51%,,,,
CHROMIUM, 459 ,0.00%,99.99%,,,,
CHROMIUM!COPPER!IODINE!MANGANESE!SELENIUM!ZINC, 371 ,0.00%,99.99%,,,,
CHROMIUM!COPPER!MANGANESE!SELENIUM!ZINC, 24 ,0.00%,100.00%,,,,
CHROMIUM!COPPER!MANGANESE!ZINC, 542 ,0.00%,99.99%,,,,
CHROMIUM!VANADIUM, -   ,0.00%,100.00%,,,,
CICLESONIDE," 1,118,368 ",0.18%,78.20%,IN,Rev Bur,low,
CICLOPIROX," 337,885 ",0.05%,91.89%,IN,,,
CILASTATIN!IMIPENEM," 1,314 ",0.00%,99.97%,,,,
CILAZAPRIL," 186,516 ",0.03%,95.23%,IN,Fixed,low,
CILAZAPRIL!HYDROCHLOROTHIAZIDE," 77,525 ",0.01%,98.08%,,,,
CIMETIDINE," 46,761 ",0.01%,98.90%,,,,
CIMICIFUGA, 181 ,0.00%,100.00%,,,,
CINACALCET," 31,538 ",0.00%,99.28%,,,,
CIPROFLOXACIN," 2,207,544 ",0.35%,63.49%,QA ISSUES,,,
CIPROFLOXACIN!DEXAMETHASONE," 602,173 ",0.09%,87.74%,IN,,,
CIPROFLOXACIN!HYDROCORTISONE, 6 ,0.00%,100.00%,,,,
CISAPRIDE, 2 ,0.00%,100.00%,,,,
CISATRACURIUM, 8 ,0.00%,100.00%,,,,
CISPLATIN, 11 ,0.00%,100.00%,,,,
CITALOPRAM," 7,144,640 ",1.12%,28.61%,IN,,,
CITRIC ACID," 11,129 ",0.00%,99.76%,,,,
CITRIC ACID!DODECYL SULFOACETIC ACID," 8,007 ",0.00%,99.82%,,,,
CITRIC ACID!DOXYLAMINE!ETAFEDRINE!HYDROCODONE," 31,589 ",0.00%,99.27%,,,,
CITRIC ACID!GLUCOSE!POTASSIUM!SODIUM, 73 ,0.00%,100.00%,,,,
CITRIC ACID!GLUCOSE!POTASSIUM!SULFACETAMIDE," 19,145 ",0.00%,99.56%,,,,
CITRIC ACID!MAGNESIUM!PICOSULFURIC ACID," 164,302 ",0.03%,95.94%,,,,
CITRIC ACID!MAGNESIUM!SODIUM, 83 ,0.00%,100.00%,,,,
CITRIC ACID!SODIUM," 1,121 ",0.00%,99.97%,,,,
CITRIC ACID!SODIUM!TARTARIC ACID, 227 ,0.00%,100.00%,,,,
CLADRIBINE, 3 ,0.00%,100.00%,,,,
CLARITHROMYCIN," 1,424,288 ",0.22%,73.27%,IN,,,
CLAVULANIC ACID!TICARCILLIN, -   ,0.00%,100.00%,,,,
CLEMASTINE, -   ,0.00%,100.00%,,,,
CLINDAMYCIN," 961,397 ",0.15%,80.97%,IN,Rev Bur,High,not published
CLINDAMYCIN!TRETINOIN," 48,236 ",0.01%,98.85%,,,,
CLIOQUINOL, 1 ,0.00%,100.00%,,,,
CLIOQUINOL!FLUMETASONE," 121,255 ",0.02%,96.83%,,,,
CLIOQUINOL!FLURANDRENOLIDE, 14 ,0.00%,100.00%,,,,
CLIOQUINOL!HYDROCORTISONE," 2,586 ",0.00%,99.94%,,,,
CLIOQUINOL!TRIAMCINOLONE ACETONIDE, -   ,0.00%,100.00%,,,,
CLOBAZAM," 365,149 ",0.06%,91.22%,IN,,,
CLOBETASOL," 607,544 ",0.10%,87.46%,IN,Rev Bur,low,
CLOBETASONE," 27,642 ",0.00%,99.40%,,,,
CLODRONIC ACID," 5,899 ",0.00%,99.86%,,,,
CLOMIPHENE," 55,441 ",0.01%,98.64%,,,,
CLOMIPRAMINE," 157,208 ",0.02%,96.01%,,,,
CLONAZEPAM," 5,508,335 ",0.86%,37.22%,IN,,,
CLONIDINE," 1,076,808 ",0.17%,79.05%,IN,,,
CLOPIDOGREL," 3,786,322 ",0.59%,47.57%,IN,,,
CLORAZEPATE," 21,401 ",0.00%,99.50%,,,,
CLOTRIMAZOLE," 562,042 ",0.09%,88.19%,IN,,,
CLOTRIMAZOLE!FLUCONAZOLE," 16,429 ",0.00%,99.63%,,,,
CLOVE, 42 ,0.00%,100.00%,,,,
CLOXACILLIN," 152,690 ",0.02%,96.16%,,,,
CLOZAPINE," 855,102 ",0.13%,82.24%,IN,,,
COAL TAR," 6,869 ",0.00%,99.84%,,,,
COAL TAR!MENTHOL!SALICYLIC ACID, -   ,0.00%,100.00%,,,,
COAL TAR!MERCURY MERCURIC!METHENAMINE, -   ,0.00%,100.00%,,,,
COAL TAR!PYRITHIONE, -   ,0.00%,100.00%,,,,
COAL TAR!PYRITHIONE!TAR, 2 ,0.00%,100.00%,,,,
COAL TAR!RESORCINOL!SALICYLIC ACID, -   ,0.00%,100.00%,,,,
COAL TAR!SALICYLIC ACID, 217 ,0.00%,100.00%,,,,
COAL TAR!SALICYLIC ACID!SULFUR, 1 ,0.00%,100.00%,,,,
COAL TAR!SALICYLIC ACID!TRICLOSAN, 860 ,0.00%,99.98%,,,,
COBICISTAT!DARUNAVIR," 1,555 ",0.00%,99.96%,,,,
COBICISTAT!ELVITEGRAVIR!EMTRICITABINE!TENOFOVIR DISOPROXIL," 27,698 ",0.00%,99.40%,,,,
COBIMETINIB, -   ,0.00%,100.00%,,,,
COCAINE, -   ,0.00%,100.00%,,,,
COD LIVER OIL, 194 ,0.00%,100.00%,,,,
COD LIVER OIL!ZINC, 45 ,0.00%,100.00%,,,,
CODEINE," 588,899 ",0.09%,87.83%,IN,,,
CODEINE!GUAIFENESIN!PHENIRAMINE," 74,331 ",0.01%,98.18%,,,,
CODEINE!GUAIFENESIN!PSEUDOEPHEDRINE," 7,402 ",0.00%,99.83%,,,,
CODEINE!GUAIFENESIN!PSEUDOEPHEDRINE!TRIPROLIDINE," 48,312 ",0.01%,98.84%,,,,
CODEINE!PHENYLEPHRINE, -   ,0.00%,100.00%,,,,
CODEINE!PSEUDOEPHEDRINE, -   ,0.00%,100.00%,,,,
CODEINE!PSEUDOEPHEDRINE!TRIPROLIDINE," 250,663 ",0.04%,94.09%,NEXT,,,
COLCHICINE," 507,387 ",0.08%,88.86%,IN,,,
COLESEVELAM," 60,384 ",0.01%,98.56%,,,,
COLESTIPOL," 23,902 ",0.00%,99.46%,,,,
COLISTIN," 2,737 ",0.00%,99.94%,,,,
COLLAGENASE," 2,430 ",0.00%,99.95%,,,,
COLLAGENASE CLOSTRIDIUM HISTOLYT," 1,552 ",0.00%,99.96%,,,,
COLOSTRUM, 44 ,0.00%,100.00%,,,,
COMPOSITION UNKNOWN, 35 ,0.00%,100.00%,,,,
COPPER, 134 ,0.00%,100.00%,,,,
COPPER!SELENIUM!VITAMIN E!ZINC, 4 ,0.00%,100.00%,,,,
CORTISONE," 22,368 ",0.00%,99.49%,,,,
CORTROSYN, 184 ,0.00%,100.00%,,,,
COUGH AND COLD PREP, 989 ,0.00%,99.98%,,,,
CRANBERRY," 27,282 ",0.00%,99.41%,,,,
CREAMS, 456 ,0.00%,99.99%,,,,
CREAMS!ZINC," 6,073 ",0.00%,99.86%,,,,
CRIZOTINIB," 1,137 ",0.00%,99.97%,,,,
CROMOLYN," 142,729 ",0.02%,96.48%,IN QA,,,
CROTAMITON," 1,329 ",0.00%,99.97%,,,,
CYANOCOBALAMIN," 4,344,778 ",0.68%,43.16%,QUERY,,,
CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 2,589 ",0.00%,99.94%,,,,
CYANOCOBALAMIN!ERGOCALCIFEROL!IRON FERRIC!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 6,280 ",0.00%,99.85%,,,,
CYANOCOBALAMIN!ERGOCALCIFEROL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A," 1,663 ",0.00%,99.96%,,,,
CYANOCOBALAMIN!FOLIC ACID," 1,574 ",0.00%,99.96%,,,,
CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 3 ,0.00%,100.00%,,,,
CYANOCOBALAMIN!FOLIC ACID!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
CYANOCOBALAMIN!FOLIC ACID!PYRIDOXINE," 1,443 ",0.00%,99.97%,,,,
CYANOCOBALAMIN!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN, 9 ,0.00%,100.00%,,,,
CYANOCOBALAMIN!IRON  FERROUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 8 ,0.00%,100.00%,,,,
CYANOCOBALAMIN!IRON  METAL!LIVER!NIACINAMIDE!PROTEINS!THIAMINE, 1 ,0.00%,100.00%,,,,
CYANOCOBALAMIN!IRON FERRIC!LIVER!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
CYANOCOBALAMIN!LIPIDS, 1 ,0.00%,100.00%,,,,
CYANOCOBALAMIN!PYRIDOXINE!THIAMINE," 98,292 ",0.02%,97.73%,,,,
CYCLOBENZAPRINE," 1,968,828 ",0.31%,66.38%,IN,,,
CYCLOMETHICONE!PETROLATUM!ZINC, 1 ,0.00%,100.00%,,,,
CYCLOMETHICONE!PETROLEUM CYCLIC AROMATIC HYDROC," 10,453 ",0.00%,99.77%,,,,
CYCLOPENTOLATE," 14,257 ",0.00%,99.69%,,,,
CYCLOPHOSPHAMIDE," 13,461 ",0.00%,99.71%,,,,
CYCLOSPORINE," 264,938 ",0.04%,93.81%,NEXT,,,
CYPROHEPTADINE," 35,501 ",0.01%,99.15%,,,,
CYPROTERONE," 35,878 ",0.01%,99.14%,,,,
CYPROTERONE!ETHINYLESTRADIOL," 309,197 ",0.05%,92.75%,IN,,,
CYTARABINE, 19 ,0.00%,100.00%,,,,
DABIGATRAN ETEXILATE," 784,923 ",0.12%,83.51%,IN,,,
DABRAFENIB," 1,256 ",0.00%,99.97%,,,,
DACARBAZINE, -   ,0.00%,100.00%,,,,
DACLATASVIR, 93 ,0.00%,100.00%,,,,
DACLIZUMAB, -   ,0.00%,100.00%,,,,
DACTINOMYCIN, -   ,0.00%,100.00%,,,,
DALTEPARIN," 198,558 ",0.03%,95.08%,NEXT,,,
DANAPAROID, 28 ,0.00%,100.00%,,,,
DANAZOL," 12,506 ",0.00%,99.73%,,,,
DANTROLENE," 15,088 ",0.00%,99.67%,,,,
DAPAGLIFLOZIN," 181,143 ",0.03%,95.43%,NEXT,,,
DAPAGLIFLOZIN!METFORMIN, -   ,0.00%,100.00%,NEXT,,,
DAPSONE," 72,239 ",0.01%,98.24%,,,,
DAPTOMYCIN, 721 ,0.00%,99.98%,,,,
DARBEPOETIN ALFA," 107,753 ",0.02%,97.22%,,,,
DARIFENACIN," 67,642 ",0.01%,98.33%,,,,
DARUNAVIR," 76,635 ",0.01%,98.09%,,,,
DASABUVIR!OMBITASVIR!PARITAPREVIR!RITONAVIR," 3,865 ",0.00%,99.91%,,,,
DASATINIB," 7,120 ",0.00%,99.83%,,,,
DAUNORUBICIN, 2 ,0.00%,100.00%,,,,
DEFERASIROX," 9,689 ",0.00%,99.80%,,,,
DEFEROXAMINE," 1,369 ",0.00%,99.97%,,,,
DEGARELIX," 9,823 ",0.00%,99.79%,,,,
DEHYDROCHOLIC ACID, 5 ,0.00%,100.00%,,,,
DELAVIRDINE, 17 ,0.00%,100.00%,,,,
DENOSUMAB," 244,659 ",0.04%,94.25%,NEXT,,,
DEQUALINIUM, 377 ,0.00%,99.99%,,,,
DESFLURANE, 18 ,0.00%,100.00%,,,,
DESIPRAMINE," 63,340 ",0.01%,98.42%,,,,
DESLORATADINE," 122,177 ",0.02%,96.79%,,,,
DESLORATADINE!PSEUDOEPHEDRINE, 559 ,0.00%,99.99%,,,,
DESMOPRESSIN," 150,661 ",0.02%,96.18%,,,,
DESOGESTREL!ETHINYLESTRADIOL," 1,609,012 ",0.25%,71.13%,IN,,,
DESONIDE," 149,532 ",0.02%,96.25%,,,,
DESOXIMETASONE," 166,570 ",0.03%,95.86%,,,,
DESOXYCORTONE, 114 ,0.00%,100.00%,,,,
DESVENLAFAXINE," 507,603 ",0.08%,88.78%,IN,,,
"DETOX!VACCINE, MELANOMA CELL", -   ,0.00%,100.00%,,,,
DEXAMETHASONE," 846,041 ",0.13%,82.38%,QA ISSUES,Rev Bur - sent,High,not published - inconsistent labelling of MI
DEXAMETHASONE!FRAMYCETIN!GRAMICIDIN," 40,350 ",0.01%,99.01%,,,,
DEXAMETHASONE!NEOMYCIN!POLYMYXIN B," 12,547 ",0.00%,99.73%,,,,
DEXBROMPHENIRAMINE!PSEUDOEPHEDRINE," 1,202 ",0.00%,99.97%,,,,
DEXCHLORPHENIRAMINE!DEXTROMETHORPHAN, 5 ,0.00%,100.00%,,,,
DEXLANSOPRAZOLE," 2,613,234 ",0.41%,58.97%,IN,,,
DEXMEDETOMIDINE, 6 ,0.00%,100.00%,IN QA,,,
DEXTRAN!GLYCEROL!HYPROMELLOSE, 985 ,0.00%,99.98%,,,,
DEXTRAN!HYDROXYPROPYL CELLULOSE," 29,798 ",0.00%,99.31%,,,,
DEXTRAN!HYPROMELLOSE," 76,328 ",0.01%,98.12%,,,,
DEXTRANOMER, -   ,0.00%,100.00%,,,,
DEXTROAMPHETAMINE," 352,237 ",0.06%,91.67%,IN,,,
DEXTROMETHORPHAN," 150,257 ",0.02%,96.20%,,,,
DEXTROMETHORPHAN!DOXYLAMINE, 33 ,0.00%,100.00%,,,,
DEXTROMETHORPHAN!GUAIFENESIN," 6,071 ",0.00%,99.86%,,,,
DEXTROMETHORPHAN!GUAIFENESIN!MENTHOL, 211 ,0.00%,100.00%,,,,
DEXTROMETHORPHAN!GUAIFENESIN!PHENIRAMINE!PSEUDOEPHEDRINE, -   ,0.00%,100.00%,,,,
DEXTROMETHORPHAN!GUAIFENESIN!PHENYLPROPANOLAMINE, -   ,0.00%,100.00%,,,,
DEXTROMETHORPHAN!GUAIFENESIN!PSEUDOEPHEDRINE," 4,607 ",0.00%,99.89%,,,,
DEXTROMETHORPHAN!GUAIFENESIN!PSEUDOEPHEDRINE!SORBITOL, 129 ,0.00%,100.00%,,,,
DEXTROMETHORPHAN!PHENIRAMINE!PHENYLEPHRINE, -   ,0.00%,100.00%,,,,
DEXTROMETHORPHAN!PHENYLEPHRINE, 1 ,0.00%,100.00%,,,,
DEXTROMETHORPHAN!PSEUDOEPHEDRINE, 191 ,0.00%,100.00%,,,,
DEXTROPROPOXYPHENE, 1 ,0.00%,100.00%,,,,
DIATRIZOIC ACID, 483 ,0.00%,99.99%,,,,
DIAZEPAM," 814,529 ",0.13%,82.89%,IN,,,
DIAZOXIDE, 562 ,0.00%,99.99%,,,,
DIBUCAINE, 52 ,0.00%,100.00%,,,,
DIBUCAINE!DOMIPHEN, 2 ,0.00%,100.00%,,,,
DIBUCAINE!ESCULIN!FRAMYCETIN!HYDROCORTISONE," 318,876 ",0.05%,92.40%,QUERY,Fixed,,publish in Feb
DICHLOROACETIC ACID, 4 ,0.00%,100.00%,,,,
DICLOFENAC," 1,996,298 ",0.31%,65.45%,IN,,,
DICLOFENAC!MISOPROSTOL," 843,141 ",0.13%,82.51%,IN,,,
DICLOXACILLIN, -   ,0.00%,100.00%,,,,
DICYCLOMINE," 135,945 ",0.02%,96.55%,,,,
DICYCLOMINE!PHENOBARBITAL, 38 ,0.00%,100.00%,,,,
DIDANOSINE, 534 ,0.00%,99.99%,,,,
DIENESTROL, -   ,0.00%,100.00%,,,,
DIENOGEST," 56,794 ",0.01%,98.60%,,,,
DIETHYLPROPION, -   ,0.00%,100.00%,,,,
DIETHYLSTILBESTROL, 3 ,0.00%,100.00%,,,,
DIFLUCORTOLONE," 29,613 ",0.00%,99.33%,,,,
DIFLUCORTOLONE!SALICYLIC ACID, 7 ,0.00%,100.00%,,,,
DIFLUNISAL," 5,069 ",0.00%,99.88%,,,,
DIFLUPREDNATE," 39,013 ",0.01%,99.04%,,,,
DIGOXIN," 1,477,555 ",0.23%,72.59%,IN,,,
DIHYDROCODEINE!DOXYLAMINE!ETAFEDRINE!ETHANOL!SODIUM, 98 ,0.00%,100.00%,,,,
DIHYDROERGOTAMINE," 9,296 ",0.00%,99.80%,,,,
DILTIAZEM," 2,993,125 ",0.47%,54.68%,IN,,,
DIMENHYDRINATE," 684,098 ",0.11%,85.46%,IN,,,
DIMETHICONE," 53,280 ",0.01%,98.70%,,,,
DIMETHICONE!LECITHIN, 456 ,0.00%,99.99%,,,,
DIMETHICONE!MENTHOL, 382 ,0.00%,99.99%,,,,
DIMETHICONE!MENTHOL!PRAMOXINE, 82 ,0.00%,100.00%,,,,
DIMETHICONE!PETROLATUM," 2,344 ",0.00%,99.95%,,,,
DIMETHYL FUMARATE," 42,754 ",0.01%,98.97%,,,,
DIMETHYL SULFOXIDE," 2,362 ",0.00%,99.95%,,,,
DIMETHYLSULFONE, 829 ,0.00%,99.98%,,,,
DIMETHYLSULFONE!HORSETAIL," 2,127 ",0.00%,99.95%,,,,
DINOPROST, 2 ,0.00%,100.00%,,,,
DINOPROSTONE, -   ,0.00%,100.00%,,,,
DIOSMIN, 450 ,0.00%,99.99%,,,,
DIOXYBENZONE!HOMOSALATE!HYDROQUINONE!OCTOCRILENE," 4,700 ",0.00%,99.89%,,,,
DIPHENHYDRAMINE," 231,687 ",0.04%,94.51%,NEXT,,,
DIPHENHYDRAMINE!IBUPROFEN, 9 ,0.00%,100.00%,,,,
DIPHENHYDRAMINE!MENTHOL, 39 ,0.00%,100.00%,,,,
DIPHENHYDRAMINE!NAPROXEN, -   ,0.00%,100.00%,,,,
DIPHENHYDRAMINE!PHENYLEPHRINE, -   ,0.00%,100.00%,,,,
DIPHENHYDRAMINE!ZINC, 165 ,0.00%,100.00%,,,,
DIPHTERIA AND TETANUS VACCINE," 2,159 ",0.00%,99.95%,,,,
"DIPHTERIA,TETANUS AND PERTUSSIS"," 6,374 ",0.00%,99.85%,,,,
DIPHTHERIA TOXOID!PERTUSSIS VACCINE!TETANUS PURIFIED TOXOID," 1,462 ",0.00%,99.97%,,,,
DIPYRIDAMOLE," 4,908 ",0.00%,99.88%,,,,
DISOPYRAMIDE," 5,643 ",0.00%,99.87%,,,,
DISULFIRAM, 87 ,0.00%,100.00%,,,,
DIVALPROEX," 2,396,076 ",0.38%,61.69%,IN,,,
DL-LACTIC ACID," 3,455 ",0.00%,99.92%,,,,
DL-LACTIC ACID!PROPYLENE GLYCOL!UREA," 2,214 ",0.00%,99.95%,,,,
DL-LACTIC ACID!SALICYLIC ACID, 43 ,0.00%,100.00%,,,,
DL-LACTIC ACID!UREA, -   ,0.00%,100.00%,,,,
DOBUTAMINE, 40 ,0.00%,100.00%,,,,
DOCETAXEL, 7 ,0.00%,100.00%,,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID," 16,285 ",0.00%,99.64%,,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!FISH," 25,150 ",0.00%,99.45%,,,,
DOCOSANOL," 1,645 ",0.00%,99.96%,,,,
DOCUSATE," 5,690,824 ",0.89%,35.50%,IN,,,
DOCUSATE!PHENOLPHTHALEIN, -   ,0.00%,100.00%,,,,
DOCUSATE!SENNA," 200,104 ",0.03%,95.02%,IN QA,,,
DOCUSATE!SENNOSIDES A&B," 28,575 ",0.00%,99.36%,,,,
DOLASETRON, -   ,0.00%,100.00%,,,,
DOLICHOVESPULA ARENARIA, 4 ,0.00%,100.00%,,,,
DOLICHOVESPULA ARENARIA!DOLICHOVESPULA MACULATA!VESPULA SSP, 67 ,0.00%,100.00%,,,,
DOLICHOVESPULA MACULATA, 2 ,0.00%,100.00%,,,,
DOLUTEGRAVIR," 35,085 ",0.01%,99.16%,,,,
DOMPERIDONE," 1,984,288 ",0.31%,65.76%,IN,,,
DONEPEZIL," 2,045,903 ",0.32%,65.14%,IN,,,
DOPAMINE, 1 ,0.00%,100.00%,,,,
DOPAMINE!GLUCOSE, 168 ,0.00%,100.00%,,,,
DORZOLAMIDE," 120,107 ",0.02%,96.84%,,,,
DORZOLAMIDE!TIMOLOL," 428,655 ",0.07%,90.22%,IN,,,
DOXAZOSIN," 368,604 ",0.06%,91.11%,IN,,,
DOXEPIN," 322,071 ",0.05%,92.35%,NEXT,,,
DOXORUBICIN, 23 ,0.00%,100.00%,,,,
DOXYCYCLINE," 820,720 ",0.13%,82.76%,IN,,,
DOXYLAMINE, 3 ,0.00%,100.00%,,,,
DOXYLAMINE!PYRIDOXINE," 310,900 ",0.05%,92.70%,QUERY,,,
DRONABINOL, 2 ,0.00%,100.00%,,,,
DRONEDARONE," 10,411 ",0.00%,99.77%,,,,
DROPERIDOL, 24 ,0.00%,100.00%,,,,
DROSPIRENONE!ESTRADIOL," 25,267 ",0.00%,99.45%,,,,
DROSPIRENONE!ETHINYLESTRADIOL," 1,136,831 ",0.18%,78.02%,IN,,,
DROSPIRENONE!ETHINYLESTRADIOL!LEVOMEFOLIC ACID," 4,242 ",0.00%,99.90%,,,,
