"","dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"153","Sodium phenylbutyrate",22565,"Sodium phenylbutyrate","Sodium phenylbutyrate","","","Sodium phenylbutyrate",FALSE,"sodium phenylbutyrate"
"154","DEFEROXAMINE MESYLATE",2446,"DEFEROXAMINE MESYLATE","DEFEROXAMINE MESYLATE","","","DEFEROXAMINE MESYLATE",FALSE,"deferoxamine mesylate"
"155","SODIUM THIOSULFATE",8910,"SODIUM THIOSULFATE","SODIUM THIOSULFATE","","","SODIUM THIOSULFATE",FALSE,"sodium thiosulfate"
"156","ALLERGENIC EXTRACTS POLLENS",13214,"ALLERGENIC EXTRACTS POLLENS","ALLERGENIC EXTRACTS POLLENS","","","ALLERGENIC EXTRACTS POLLENS",FALSE,"allergenic extracts pollens"
"157","METOLAZONE",8133,"METOLAZONE","METOLAZONE","","","METOLAZONE",FALSE,"metolazone"
"158","INDIGO CARMINE",6214,"INDIGO CARMINE","INDIGO CARMINE","","","INDIGO CARMINE",FALSE,"indigo carmine"
"159","MAGNESIUM OXIDE",778,"MAGNESIUM OXIDE","MAGNESIUM OXIDE","","","MAGNESIUM OXIDE",FALSE,"magnesium oxide"
"160","CLOFARABINE",20504,"CLOFARABINE","CLOFARABINE","","","CLOFARABINE",FALSE,"clofarabine"
"161","AZATHIOPRINE (AZATHIOPRINE SODIUM)",10128,"AZATHIOPRINE","AZATHIOPRINE SODIUM",NA,NA,NA,NA,NA
"162","VITAMIN E (D-ALPHA TOCOPHERYL ACETATE)",701,"VITAMIN E","D-ALPHA TOCOPHERYL ACETATE","","","VITAMIN E (D-ALPHA TOCOPHERYL ACETATE)",FALSE,"vitamin e (d-alpha tocopheryl acetate)"
"163","HAEMAGGLUTININ-STRAIN B (Victoria)",22250,"HAEMAGGLUTININ-STRAIN B","Victoria","","","HAEMAGGLUTININ-STRAIN B (Victoria)",FALSE,"haemagglutinin-strain b (victoria)"
"164","IOPAMIDOL",8042,"IOPAMIDOL","IOPAMIDOL","","","IOPAMIDOL",FALSE,"iopamidol"
"165","BILE SALTS",3671,"BILE SALTS","BILE SALTS",NA,NA,NA,NA,NA
"166","ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)",8618,"ERYTHROMYCIN","ERYTHROMYCIN ETHYLSUCCINATE","Y","ERYTHROMYCIN","ERYTHROMYCIN",FALSE,"erythromycin (erythromycin ethylsuccinate)"
"167","PIMECROLIMUS",12077,"PIMECROLIMUS","PIMECROLIMUS","","","PIMECROLIMUS",FALSE,"pimecrolimus"
"168","SODIUM CARBOXYMETHYL CELLULOSE",6633,"SODIUM CARBOXYMETHYL CELLULOSE","SODIUM CARBOXYMETHYL CELLULOSE","","","SODIUM CARBOXYMETHYL CELLULOSE",FALSE,"sodium carboxymethyl cellulose"
"169","Naloxegol (Naloxegol oxalate)",22609,"Naloxegol","Naloxegol oxalate","","","Naloxegol (Naloxegol oxalate)",FALSE,"naloxegol (naloxegol oxalate)"
"170","PROCHLORPERAZINE",7991,"PROCHLORPERAZINE","PROCHLORPERAZINE","","","PROCHLORPERAZINE",FALSE,"prochlorperazine"
"171","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F",20651,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F",FALSE,"pneumococcal polysaccharide serotype 12f"
"172","LITHIUM CARBONATE",10227,"LITHIUM CARBONATE","LITHIUM CARBONATE","Y","LITHIUM","LITHIUM CARBONATE",FALSE,"lithium carbonate"
"173","VALPROIC ACID (SODIUM VALPROATE)",2115,"VALPROIC ACID","SODIUM VALPROATE","Y","VALPROIC ACID","VALPROIC ACID (VALPROATE)",FALSE,"valproic acid (sodium valproate)"
"174","INSULIN ISOPHANE (NPH)",7323,"INSULIN ISOPHANE","NPH","Y","HUMAN INSULIN ISOPHANE","INSULIN ISOPHANE HUMAN",FALSE,"insulin isophane (nph)"
"175","ICODEXTRIN",11909,"ICODEXTRIN","ICODEXTRIN","","","ICODEXTRIN",FALSE,"icodextrin"
"176","Bosutinib",22234,"Bosutinib","Bosutinib","","","Bosutinib",FALSE,"bosutinib"
"177","PHENOL",6935,"PHENOL","PHENOL","","","PHENOL",FALSE,"phenol"
"178","CHLORHEXIDINE GLUCONATE",626,"CHLORHEXIDINE GLUCONATE","CHLORHEXIDINE GLUCONATE","Y","CHLORHEXIDINE","CHLORHEXIDINE",FALSE,"chlorhexidine gluconate"
"179","VITAMIN D",703,"VITAMIN D","VITAMIN D","","","VITAMIN D",FALSE,"vitamin d"
"180","RIVAROXABAN",20387,"RIVAROXABAN","RIVAROXABAN","Y","RIVAROXABAN","RIVAROXABAN",FALSE,"rivaroxaban"
"181","MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)",720,"MAGNESIUM HYDROXIDE","DRIED ALUMINUM HYDROXIDE GEL","","","MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)",FALSE,"magnesium hydroxide (dried aluminum hydroxide gel)"
"182","SORBITOL",9192,"SORBITOL","SORBITOL","","","SORBITOL",FALSE,"sorbitol"
"183","OCRIPLASMIN",22139,"OCRIPLASMIN","OCRIPLASMIN","","","OCRIPLASMIN",FALSE,"ocriplasmin"
"184","ISONIAZID",6618,"ISONIAZID","ISONIAZID","","","ISONIAZID",FALSE,"isoniazid"
"185","BLINATUMOMAB",22674,"BLINATUMOMAB","BLINATUMOMAB","","","BLINATUMOMAB",FALSE,"blinatumomab"
"186","DERMATOPHAGOIDES FARINAE",7660,"DERMATOPHAGOIDES FARINAE","DERMATOPHAGOIDES FARINAE","","","DERMATOPHAGOIDES FARINAE",FALSE,"dermatophagoides farinae"
"187","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE",12152,"MENINGOCOCCAL GROUP C OLIGOSACCHARIDE","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE","","","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE",FALSE,"meningococcal group c oligosaccharide"
"188","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT",7638,"DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","","","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT",FALSE,"dolichovespula maculata venom protein extract"
"189","SODIUM GLUCONATE",6787,"SODIUM GLUCONATE","SODIUM GLUCONATE","","","SODIUM GLUCONATE",FALSE,"sodium gluconate"
"190","BENZTROPINE MESYLATE",5922,"BENZTROPINE MESYLATE","BENZTROPINE MESYLATE","Y","BENZTROPINE","BENZTROPINE",FALSE,"benztropine mesylate"
"191","METHAZOLAMIDE",5863,"METHAZOLAMIDE","METHAZOLAMIDE","","","METHAZOLAMIDE",FALSE,"methazolamide"
"192","PYRETHRINS",6441,"PYRETHRINS","PYRETHRINS","","","PYRETHRINS",FALSE,"pyrethrins"
"193","AZACITIDINE",20554,"AZACITIDINE","AZACITIDINE","","","AZACITIDINE",FALSE,"azacitidine"
"194","KETOROLAC TROMETHAMINE",1241,"KETOROLAC TROMETHAMINE","KETOROLAC TROMETHAMINE","Y","KETOROLAC","KETOROLAC",FALSE,"ketorolac tromethamine"
"195","ASPARAGINASE",2433,"ASPARAGINASE","ASPARAGINASE",NA,NA,NA,NA,NA
"196","SILTUXIMAB",22547,"SILTUXIMAB","SILTUXIMAB","","","SILTUXIMAB",FALSE,"siltuximab"
"197","ROSIGLITAZONE (ROSIGLITAZONE MALEATE)",11925,"ROSIGLITAZONE","ROSIGLITAZONE MALEATE","","","ROSIGLITAZONE (ROSIGLITAZONE MALEATE)",FALSE,"rosiglitazone (rosiglitazone maleate)"
"198","CALAMINE",7296,"CALAMINE","CALAMINE","","","CALAMINE",FALSE,"calamine"
"199","CROTAMITON",9260,"CROTAMITON","CROTAMITON","","","CROTAMITON",FALSE,"crotamiton"
"200","PEANUT OIL",6572,"PEANUT OIL","PEANUT OIL","","","PEANUT OIL",FALSE,"peanut oil"
"201","VITAMIN E",701,"VITAMIN E","VITAMIN E","","","VITAMIN E",FALSE,"vitamin e"
"202","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)",11108,"PRAZOSIN","PRAZOSIN HYDROCHLORIDE","","","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)",FALSE,"prazosin (prazosin hydrochloride)"
"203","IODINE (POTASSIUM IODIDE)",7218,"IODINE","POTASSIUM IODIDE","","","IODINE (POTASSIUM IODIDE)",FALSE,"iodine (potassium iodide)"
"204","PERPHENAZINE",8003,"PERPHENAZINE","PERPHENAZINE","","","PERPHENAZINE",FALSE,"perphenazine"
"205","SULFASALAZINE",8138,"SULFASALAZINE","SULFASALAZINE","","","SULFASALAZINE",FALSE,"sulfasalazine"
"206","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1",7654,"INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1","V.C.O.","","","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1",FALSE,"inactivated poliomyelitis vaccine (v.c.o.) type 2 mef1"
"207","QUINIDINE SULFATE",6714,"QUINIDINE SULFATE","QUINIDINE SULFATE","","","QUINIDINE SULFATE",FALSE,"quinidine sulfate"
"208","TRIPELENNAMINE HYDROCHLORIDE",20364,"TRIPELENNAMINE HYDROCHLORIDE","TRIPELENNAMINE HYDROCHLORIDE","","","TRIPELENNAMINE HYDROCHLORIDE",FALSE,"tripelennamine hydrochloride"
"209","TRAVOPROST",12477,"TRAVOPROST","TRAVOPROST","Y","TRAVOPROST","TRAVOPROST",FALSE,"travoprost"
"210","TAZAROTENE",11373,"TAZAROTENE","TAZAROTENE","","","TAZAROTENE",FALSE,"tazarotene"
"211","GOSERELIN (GOSERELIN ACETATE)",11167,"GOSERELIN","GOSERELIN ACETATE","","","GOSERELIN (GOSERELIN ACETATE)",FALSE,"goserelin (goserelin acetate)"
"212","METHOCARBAMOL",6340,"METHOCARBAMOL","METHOCARBAMOL","","","METHOCARBAMOL",FALSE,"methocarbamol"
"213","EPTIFIBATIDE",11891,"EPTIFIBATIDE","EPTIFIBATIDE","","","EPTIFIBATIDE",FALSE,"eptifibatide"
"214","GLATIRAMER ACETATE",11533,"GLATIRAMER ACETATE","GLATIRAMER ACETATE","","","GLATIRAMER ACETATE",FALSE,"glatiramer acetate"
"215","MITOMYCIN",2195,"MITOMYCIN","MITOMYCIN","","","MITOMYCIN",FALSE,"mitomycin"
"216","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2",20646,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2",FALSE,"pneumococcal polysaccharide serotype 2"
"217","SODIUM OXYBATE",15411,"SODIUM OXYBATE","SODIUM OXYBATE","","","SODIUM OXYBATE",FALSE,"sodium oxybate"
"218","PYRITHIONE ZINC",662,"PYRITHIONE ZINC","PYRITHIONE ZINC","","","PYRITHIONE ZINC",FALSE,"pyrithione zinc"
"219","LANOLIN",6974,"LANOLIN","LANOLIN","","","LANOLIN",FALSE,"lanolin"
"220","RABEPRAZOLE SODIUM",12149,"RABEPRAZOLE SODIUM","RABEPRAZOLE SODIUM","Y","RABEPRAZOLE SODIUM","RABEPRAZOLE",FALSE,"rabeprazole sodium"
"221","BISMUTH SUBGALLATE",7149,"BISMUTH SUBGALLATE","BISMUTH SUBGALLATE","","","BISMUTH SUBGALLATE",FALSE,"bismuth subgallate"
"222","RABIES VACCINE INACTIVATED (PURIFIED CHICK EMBRYO CELL CULTURE)",15082,"RABIES VACCINE INACTIVATED","PURIFIED CHICK EMBRYO CELL CULTURE","","","RABIES VACCINE INACTIVATED (PURIFIED CHICK EMBRYO CELL CULTURE)",FALSE,"rabies vaccine inactivated (purified chick embryo cell culture)"
"223","DIGOXIN",6731,"DIGOXIN","DIGOXIN","Y","DIGOXIN","DIGOXIN",FALSE,"digoxin"
"224","TRIPROLIDINE HYDROCHLORIDE",6494,"TRIPROLIDINE HYDROCHLORIDE","TRIPROLIDINE HYDROCHLORIDE","","","TRIPROLIDINE HYDROCHLORIDE",FALSE,"triprolidine hydrochloride"
"225","MOMETASONE FUROATE (MOMETASONE FUROATE MONOHYDRATE)",7504,"MOMETASONE FUROATE","MOMETASONE FUROATE MONOHYDRATE","Y","MOMETASONE","MOMETASONE",TRUE,"mometasone furoate"
"226","SULFINPYRAZONE",8151,"SULFINPYRAZONE","SULFINPYRAZONE","","","SULFINPYRAZONE",FALSE,"sulfinpyrazone"
"227","TERBUTALINE SULFATE",2345,"TERBUTALINE SULFATE","TERBUTALINE SULFATE","","","TERBUTALINE SULFATE",FALSE,"terbutaline sulfate"
"228","HAEMOPHILUS INFLUENZAE TYPE B-PRP",7795,"HAEMOPHILUS INFLUENZAE TYPE B-PRP","HAEMOPHILUS INFLUENZAE TYPE B-PRP","","","HAEMOPHILUS INFLUENZAE TYPE B-PRP",FALSE,"haemophilus influenzae type b-prp"
"229","PALIPERIDONE (Paliperidone Palmitate)",20163,"PALIPERIDONE","Paliperidone Palmitate","","","PALIPERIDONE (Paliperidone Palmitate)",FALSE,"paliperidone (paliperidone palmitate)"
"230","CIMETIDINE",2165,"CIMETIDINE","CIMETIDINE","","","CIMETIDINE",FALSE,"cimetidine"
"231","INDOMETHACIN",10126,"INDOMETHACIN","INDOMETHACIN","Y","INDOMETHACIN","INDOMETHACIN",FALSE,"indomethacin"
"232","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT",127,"INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT","D.C.O.","","","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT",FALSE,"inactivated poliomyelitis vaccine (d.c.o.) type 3 saukett"
"233","POLYETHYLENE GLYCOL 3350",698,"POLYETHYLENE GLYCOL 3350","POLYETHYLENE GLYCOL 3350","","","POLYETHYLENE GLYCOL 3350",FALSE,"polyethylene glycol 3350"
"234","ZINC CHLORIDE",6321,"ZINC CHLORIDE","ZINC CHLORIDE","","","ZINC CHLORIDE",FALSE,"zinc chloride"
"235","TESTOSTERONE CYPIONATE",7487,"TESTOSTERONE CYPIONATE","TESTOSTERONE CYPIONATE","Y","TESTOSTERONE","TESTOSTERONE",FALSE,"testosterone cypionate"
"236","BETAMETHASONE ACETATE",7606,"BETAMETHASONE ACETATE","BETAMETHASONE ACETATE","Y","BETAMETHASONE","BETAMETHASONE ACETATE",FALSE,"betamethasone acetate"
"237","LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE)",923,"LEVOCABASTINE","LEVOCABASTINE HYDROCHLORIDE","","","LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE)",FALSE,"levocabastine (levocabastine hydrochloride)"
"238","Paritaprevir",22556,"Paritaprevir","Paritaprevir","","","Paritaprevir",FALSE,"paritaprevir"
"239","COAL TAR",6849,"COAL TAR","COAL TAR","","","COAL TAR",FALSE,"coal tar"
"240","CYPROHEPTADINE HYDROCHLORIDE",10029,"CYPROHEPTADINE HYDROCHLORIDE","CYPROHEPTADINE HYDROCHLORIDE","","","CYPROHEPTADINE HYDROCHLORIDE",FALSE,"cyproheptadine hydrochloride"
"241","WHITE FACED HORNET VENOM PROTEIN",2029,"WHITE FACED HORNET VENOM PROTEIN","WHITE FACED HORNET VENOM PROTEIN","","","WHITE FACED HORNET VENOM PROTEIN",FALSE,"white faced hornet venom protein"
"242","ROPIVACAINE HYDROCHLORIDE",11081,"ROPIVACAINE HYDROCHLORIDE","ROPIVACAINE HYDROCHLORIDE","","","ROPIVACAINE HYDROCHLORIDE",FALSE,"ropivacaine hydrochloride"
"243","ZINC OXIDE",7289,"ZINC OXIDE","ZINC OXIDE","","","ZINC OXIDE",FALSE,"zinc oxide"
"244","AIR",2328,"AIR","AIR","","","AIR",FALSE,"air"
"245","BIMATOPROST",12108,"BIMATOPROST","BIMATOPROST","Y","BIMATOPROST","BIMATOPROST",FALSE,"bimatoprost"
"246","GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)",12072,"GLUCAGON","RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE","","","GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)",FALSE,"glucagon (recombinant dna origin) (glucagon hydrochloride)"
"247","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE)",7645,"LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN","EQUINE","","","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE)",FALSE,"lymphocyte immune globulin anti-thymocyte globulin (equine)"
"248","IFOSFAMIDE",1747,"IFOSFAMIDE","IFOSFAMIDE","","","IFOSFAMIDE",FALSE,"ifosfamide"
"249","ARGININE HYDROCHLORIDE",13800,"ARGININE HYDROCHLORIDE","ARGININE HYDROCHLORIDE","","","ARGININE HYDROCHLORIDE",FALSE,"arginine hydrochloride"
"250","POLYVINYL ALCOHOL",6033,"POLYVINYL ALCOHOL","POLYVINYL ALCOHOL","","","POLYVINYL ALCOHOL",FALSE,"polyvinyl alcohol"
"251","OXYBUTYNIN",13333,"OXYBUTYNIN","OXYBUTYNIN",NA,NA,NA,NA,NA
"252","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN",12153,"CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN","","","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN",FALSE,"corynebacterium diphtheriae crm-197 protein"
"253","HEPATITIS B IMMUNE GLOBULIN HUMAN",7764,"HEPATITIS B IMMUNE GLOBULIN HUMAN","HEPATITIS B IMMUNE GLOBULIN HUMAN","","","HEPATITIS B IMMUNE GLOBULIN HUMAN",FALSE,"hepatitis b immune globulin human"
"254","L-LYSINE (L-LYSINE ACETATE)",193,"L-LYSINE","L-LYSINE ACETATE","","","L-LYSINE (L-LYSINE ACETATE)",FALSE,"l-lysine (l-lysine acetate)"
"255","DAPTOMYCIN",20161,"DAPTOMYCIN","DAPTOMYCIN","","","DAPTOMYCIN",FALSE,"daptomycin"
"256","DEFERASIROX",20022,"DEFERASIROX","DEFERASIROX","","","DEFERASIROX",FALSE,"deferasirox"
"257","HALOPERIDOL",10146,"HALOPERIDOL","HALOPERIDOL","Y","HALOPERIDOL","HALOPERIDOL",FALSE,"haloperidol"
"258","MAGNESIUM CHLORIDE",49,"MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","","","MAGNESIUM CHLORIDE",FALSE,"magnesium chloride"
"259","ENALAPRILAT",1776,"ENALAPRILAT","ENALAPRILAT","","","ENALAPRILAT",FALSE,"enalaprilat"
"260","MAGNESIUM (MAGNESIUM OXIDE)",6487,"MAGNESIUM","MAGNESIUM OXIDE","","","MAGNESIUM (MAGNESIUM OXIDE)",FALSE,"magnesium (magnesium oxide)"
"261","METOCLOPRAMIDE HYDROCHLORIDE",3776,"METOCLOPRAMIDE HYDROCHLORIDE","METOCLOPRAMIDE HYDROCHLORIDE","Y","METOCLOPRAMIDE","METOCLOPRAMIDE",FALSE,"metoclopramide hydrochloride"
"262","Indacaterol (Indacaterol Maleate)",21063,"Indacaterol","Indacaterol Maleate","","","Indacaterol (Indacaterol Maleate)",FALSE,"indacaterol (indacaterol maleate)"
"263","BRINZOLAMIDE",11799,"BRINZOLAMIDE","BRINZOLAMIDE",NA,NA,NA,NA,NA
"264","Cobicistat",21508,"Cobicistat","Cobicistat","","","Cobicistat",FALSE,"cobicistat"
"265","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL",4070,"METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","","","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL",FALSE,"methyl heptyl colamino formylmethyl pyridinium chl"
"266","CLONAZEPAM",2192,"CLONAZEPAM","CLONAZEPAM","Y","CLONAZEPAM","CLONAZEPAM",FALSE,"clonazepam"
"267","FAMOTIDINE",1395,"FAMOTIDINE","FAMOTIDINE","","","FAMOTIDINE",FALSE,"famotidine"
"268","ETHAMBUTOL HYDROCHLORIDE",20261,"ETHAMBUTOL HYDROCHLORIDE","ETHAMBUTOL HYDROCHLORIDE","","","ETHAMBUTOL HYDROCHLORIDE",FALSE,"ethambutol hydrochloride"
"269","HYDROXYETHYLCELLULOSE",3977,"HYDROXYETHYLCELLULOSE","HYDROXYETHYLCELLULOSE",NA,NA,NA,NA,NA
"270","CORTISONE ACETATE",7530,"CORTISONE ACETATE","CORTISONE ACETATE","","","CORTISONE ACETATE",FALSE,"cortisone acetate"
"271","METHOXSALEN",5303,"METHOXSALEN","METHOXSALEN","","","METHOXSALEN",FALSE,"methoxsalen"
"272","LOTEPREDNOL ETABONATE",20429,"LOTEPREDNOL ETABONATE","LOTEPREDNOL ETABONATE","","","LOTEPREDNOL ETABONATE",FALSE,"loteprednol etabonate"
"273","BACLOFEN",2104,"BACLOFEN","BACLOFEN","Y","BACLOFEN","BACLOFEN",FALSE,"baclofen"
"274","DARIFENACIN (DARIFENACIN HYDROBROMIDE)",17051,"DARIFENACIN","DARIFENACIN HYDROBROMIDE","","","DARIFENACIN (DARIFENACIN HYDROBROMIDE)",FALSE,"darifenacin (darifenacin hydrobromide)"
"275","ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)",13353,"ALENDRONIC ACID","ALENDRONATE SODIUM TRIHYDRATE","Y","ALENDRONATE","ALENDRONIC ACID",TRUE,"alendronic acid (alendronate sodium)"
"276","Dabrafenib (Dabrafenib mesylate)",22126,"Dabrafenib","Dabrafenib mesylate","","","Dabrafenib (Dabrafenib mesylate)",FALSE,"dabrafenib (dabrafenib mesylate)"
"277","TRANDOLAPRIL",11443,"TRANDOLAPRIL","TRANDOLAPRIL","Y","TRANDOLAPRIL","TRANDOLAPRIL",FALSE,"trandolapril"
"278","Galsulfase",22147,"Galsulfase","Galsulfase","","","Galsulfase",FALSE,"galsulfase"
"279","RIFABUTIN",8316,"RIFABUTIN","RIFABUTIN","","","RIFABUTIN",FALSE,"rifabutin"
"280","THALIDOMIDE",6036,"THALIDOMIDE","THALIDOMIDE","","","THALIDOMIDE",FALSE,"thalidomide"
"281","FROVATRIPTAN (Frovatriptan Succinate Monohydrate)",13350,"FROVATRIPTAN","Frovatriptan Succinate Monohydrate","","","FROVATRIPTAN (Frovatriptan Succinate Monohydrate)",TRUE,"frovatriptan (frovatriptan succinate monohydrate)"
"282","DIAZEPAM",9418,"DIAZEPAM","DIAZEPAM","Y","DIAZEPAM","DIAZEPAM",FALSE,"diazepam"
"283","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN",19709,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN","","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN",FALSE,"recombinant human papillomavirus type 16 l1 protein"
"284","OXYMETAZOLINE HYDROCHLORIDE",10195,"OXYMETAZOLINE HYDROCHLORIDE","OXYMETAZOLINE HYDROCHLORIDE","","","OXYMETAZOLINE HYDROCHLORIDE",FALSE,"oxymetazoline hydrochloride"
"285","AGALSIDASE ALFA",13300,"AGALSIDASE ALFA","AGALSIDASE ALFA","","","AGALSIDASE ALFA",FALSE,"agalsidase alfa"
"286","GONADORELIN ACETATE",7330,"GONADORELIN ACETATE","GONADORELIN ACETATE","","","GONADORELIN ACETATE",FALSE,"gonadorelin acetate"
"287","DICHLOROBENZENE",3989,"DICHLOROBENZENE","DICHLOROBENZENE","","","DICHLOROBENZENE",FALSE,"dichlorobenzene"
"288","L-THREONINE",941,"L-THREONINE","L-THREONINE","","","L-THREONINE",FALSE,"l-threonine"
"289","PENTAMIDINE ISETIONATE",20144,"PENTAMIDINE ISETIONATE","PENTAMIDINE ISETIONATE",NA,NA,NA,NA,NA
"290","RISEDRONATE SODIUM (RISEDRONATE SODIUM MONOHYDRATE)",11819,"RISEDRONATE SODIUM","RISEDRONATE SODIUM MONOHYDRATE","Y","RISEDRONATE","RISEDRONATE",TRUE,"risedronate sodium"
"291","CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE)",8551,"CLINDAMYCIN","CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE","Y","CLINDAMYCIN","CLINDAMYCIN",FALSE,"clindamycin (clindamycin 2-palmitate hydrochloride)"
"292","CIPROFLOXACIN (CIPROFLOXACIN LACTATE)",93,"CIPROFLOXACIN","CIPROFLOXACIN LACTATE","Y","CIPROFLOXACIN","CIPROFLOXACIN",FALSE,"ciprofloxacin (ciprofloxacin lactate)"
"293","DIMENHYDRINATE",9782,"DIMENHYDRINATE","DIMENHYDRINATE","","","DIMENHYDRINATE",FALSE,"dimenhydrinate"
"294","INTERFERON ALFA-2B",1751,"INTERFERON ALFA-2B","INTERFERON ALFA-2B","","","INTERFERON ALFA-2B",FALSE,"interferon alfa-2b"
"295","BUSPIRONE HYDROCHLORIDE",1890,"BUSPIRONE HYDROCHLORIDE","BUSPIRONE HYDROCHLORIDE","","","BUSPIRONE HYDROCHLORIDE",FALSE,"buspirone hydrochloride"
"296","TOLBUTAMIDE",9563,"TOLBUTAMIDE","TOLBUTAMIDE","","","TOLBUTAMIDE",FALSE,"tolbutamide"
"297","EXEMESTANE",12019,"EXEMESTANE","EXEMESTANE","","","EXEMESTANE",FALSE,"exemestane"
"298","DIMETHYL SULFOXIDE",9745,"DIMETHYL SULFOXIDE","DIMETHYL SULFOXIDE","","","DIMETHYL SULFOXIDE",FALSE,"dimethyl sulfoxide"
"299","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN",22571,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN","","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN",FALSE,"recombinant human papillomavirus type 33 l1 protein"
"300","TYPHOID VACCINE (SALMONELLA TYPHI TY21A)",7832,"TYPHOID VACCINE","SALMONELLA TYPHI TY21A","","","TYPHOID VACCINE (SALMONELLA TYPHI TY21A)",FALSE,"typhoid vaccine (salmonella typhi ty21a)"
"301","METHYLPREDNISOLONE",7626,"METHYLPREDNISOLONE","METHYLPREDNISOLONE","","","METHYLPREDNISOLONE",FALSE,"methylprednisolone"
"302","ZINC (ZINC OXIDE)",331,"ZINC","ZINC OXIDE","","","ZINC (ZINC OXIDE)",FALSE,"zinc (zinc oxide)"
"303","Roflumilast",20639,"Roflumilast","Roflumilast",NA,NA,NA,NA,NA
"304","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4",19830,"HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4","","","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4",FALSE,"human-bovine rotavirus reassortant type g4"
