"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"131","BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT","217",1,"BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT","BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT","BCG",NA,NA,NA,NA,NA,NA
"132","BACITRACIN","8502",2,"BACITRACIN|BACITRACIN (BACITRACIN ZINC)","BACITRACIN","BACITRACIN ZINC","58H6RWO52I","58H6RWO52I","BACITRACIN","Active Ingredient","",""
"133","BACITRACIN ZINC","8500",1,"BACITRACIN ZINC","BACITRACIN ZINC","BACITRACIN ZINC","89Y4M234ES","58H6RWO52I","BACITRACIN","Active Moiety","",""
"134","BACLOFEN","2104",1,"BACLOFEN","BACLOFEN","BACLOFEN","H789N3FKE8","H789N3FKE8","BACLOFEN","Active Ingredient","",""
"135","BASILIXIMAB","12027",1,"BASILIXIMAB","BASILIXIMAB","BASILIXIMAB","9927MT646M","9927MT646M","BASILIXIMAB","Active Ingredient","",""
"136","BECLOMETHASONE DIPROPIONATE","7567",1,"BECLOMETHASONE DIPROPIONATE","BECLOMETHASONE DIPROPIONATE","BECLOMETHASONE DIPROPIONATE","5B307S63B2","KGZ1SLC28Z","BECLOMETHASONE","Active Ingredient","",""
"137","BELIMUMAB","20836",1,"BELIMUMAB","BELIMUMAB","BELIMUMAB","73B0K5S26A","73B0K5S26A","BELIMUMAB","Active Ingredient","",""
"138","BELLADONNA","672",1,"BELLADONNA","BELLADONNA","BELLADONNA",NA,NA,NA,NA,NA,NA
"139","BEMOTRIZINOL","20447",1,"BEMOTRIZINOL","BEMOTRIZINOL","BEMOTRIZINOL","PWZ1720CBH","PWZ1720CBH","BEMOTRIZINOL","Active Ingredient","",""
"140","BENAZEPRIL HYDROCHLORIDE","1215",1,"BENAZEPRIL HYDROCHLORIDE","BENAZEPRIL HYDROCHLORIDE","BENAZEPRIL HYDROCHLORIDE","N1SN99T69T","JRM708L703","BENAZEPRILAT","Active Ingredient","",""
"141","BENDAMUSTINE HYDROCHLORIDE","13270",1,"BENDAMUSTINE HYDROCHLORIDE","BENDAMUSTINE HYDROCHLORIDE","BENDAMUSTINE HYDROCHLORIDE","981Y8SX18M","9266D9P3PQ","BENDAMUSTINE","Active Ingredient","",""
"142","BENOXINATE HYDROCHLORIDE","6189",1,"BENOXINATE HYDROCHLORIDE","BENOXINATE HYDROCHLORIDE","BENOXINATE HYDROCHLORIDE","0VE4U49K15","AXQ0JYM303","BENOXINATE","Active Ingredient","",""
"143","BENSERAZIDE","11318",1,"BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)","BENSERAZIDE","BENSERAZIDE HYDROCHLORIDE","762OS3ZEJU","762OS3ZEJU","BENSERAZIDE","Active Ingredient","",""
"144","BENZALKONIUM CHLORIDE","197",1,"BENZALKONIUM CHLORIDE","BENZALKONIUM CHLORIDE","BENZALKONIUM CHLORIDE","F5UM2KM3W7","7N6JUD5X6Y","BENZALKONIUM","Active Ingredient","",""
"145","BENZETHONIUM CHLORIDE","783",1,"BENZETHONIUM CHLORIDE","BENZETHONIUM CHLORIDE","BENZETHONIUM CHLORIDE","PH41D05744","1VU15B70BP","BENZETHONIUM","Active Ingredient","",""
"146","BENZOCAINE","8903",1,"BENZOCAINE","BENZOCAINE","BENZOCAINE","U3RSY48JW5","U3RSY48JW5","BENZOCAINE","Active Ingredient","",""
"147","BENZOIN","6950",1,"BENZOIN","BENZOIN","BENZOIN","L7J6A1NE81","L7J6A1NE81","BENZOIN","Active Ingredient","",""
"148","BENZOYL PEROXIDE","6850",1,"BENZOYL PEROXIDE","BENZOYL PEROXIDE","BENZOYL PEROXIDE","W9WZN9A0GM","W9WZN9A0GM","BENZOYL PEROXIDE","Active Ingredient","",""
"149","BENZTROPINE MESYLATE","5922",1,"BENZTROPINE MESYLATE","BENZTROPINE MESYLATE","BENZTROPINE MESYLATE","WMJ8TL7510","1NHL2J4X8K","BENZTROPINE","Active Ingredient","",""
"150","BENZYDAMINE HYDROCHLORIDE","2047",1,"BENZYDAMINE HYDROCHLORIDE","BENZYDAMINE HYDROCHLORIDE","BENZYDAMINE HYDROCHLORIDE","K2GI407R4Q","4O21U048EF","BENZYDAMINE","","",""
"151","BENZYLPENICILLOYL-POLYLYSINE","8362",1,"BENZYLPENICILLOYL-POLYLYSINE","BENZYLPENICILLOYL-POLYLYSINE","BENZYLPENICILLOYL-POLYLYSINE",NA,NA,NA,NA,NA,NA
"152","BERACTANT","738",1,"BERACTANT","BERACTANT","BERACTANT","S866O45PIG","Q4K217VGA9","CALFACTANT","Active Moiety","",""
"153","BESIFLOXACIN","20556",1,"BESIFLOXACIN","BESIFLOXACIN","BESIFLOXACIN","BFE2NBZ7NX","BFE2NBZ7NX","BESIFLOXACIN","Active Ingredient","",""
"154","BETAHISTINE HYDROCHLORIDE","9483",1,"BETAHISTINE HYDROCHLORIDE","BETAHISTINE HYDROCHLORIDE","BETAHISTINE HYDROCHLORIDE","49K58SMZ7U","X32KK4201D","BETAHISTINE","","",""
"155","BETAINE","6871",1,"BETAINE","BETAINE","BETAINE","3SCV180C9W","3SCV180C9W","BETAINE","Active Ingredient","",""
"156","BETAMETHASONE","7610",4,"BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)|BETAMETHASONE (BETAMETHASONE DIPROPIONATE)|BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)|BETAMETHASONE (BETAMETHASONE VALERATE)","BETAMETHASONE","BETAMETHASONE 21-DISODIUM PHOSPHATE|BETAMETHASONE DIPROPIONATE|BETAMETHASONE SODIUM PHOSPHATE|BETAMETHASONE VALERATE","9842X06Q6M","9842X06Q6M","BETAMETHASONE","Active Ingredient","",""
"157","BETAMETHASONE ACETATE","7606",1,"BETAMETHASONE ACETATE","BETAMETHASONE ACETATE","BETAMETHASONE ACETATE","TI05AO53L7","9842X06Q6M","BETAMETHASONE","Active Ingredient","",""
"158","BETAMETHASONE DIPROPIONATE","7603",1,"BETAMETHASONE DIPROPIONATE","BETAMETHASONE DIPROPIONATE","BETAMETHASONE DIPROPIONATE","826Y60901U","9842X06Q6M","BETAMETHASONE","Active Moiety","",""
"159","BETAMETHASONE VALERATE","13244",1,"BETAMETHASONE VALERATE","BETAMETHASONE VALERATE","BETAMETHASONE VALERATE","9IFA5XM7R2","9842X06Q6M","BETAMETHASONE","Active Moiety","",""
"160","BETAMETHASONE VALERATE","13244",1,"BETAMETHASONE VALERATE","BETAMETHASONE VALERATE","BETAMETHASONE VALERATE","9IFA5XM7R2","9842X06Q6M","BETAMETHASONE","Active Ingredient","",""
"161","BETAXOLOL","11219",1,"BETAXOLOL (BETAXOLOL HYDROCHLORIDE)","BETAXOLOL","BETAXOLOL HYDROCHLORIDE","O0ZR1R6RZ2","O0ZR1R6RZ2","BETAXOLOL","Active Ingredient","",""
"162","BETHANECHOL CHLORIDE","5440",1,"BETHANECHOL CHLORIDE","BETHANECHOL CHLORIDE","BETHANECHOL CHLORIDE","H4QBZ2LO84","004F72P8F4","BETHANECHOL","Active Ingredient","",""
"163","BEVACIZUMAB","16200",1,"BEVACIZUMAB","BEVACIZUMAB","BEVACIZUMAB","2S9ZZM9Q9V","2S9ZZM9Q9V","BEVACIZUMAB","Active Ingredient","",""
"164","BEZAFIBRATE","949",1,"BEZAFIBRATE","BEZAFIBRATE","BEZAFIBRATE","Y9449Q51XH","Y9449Q51XH","BEZAFIBRATE","Active Ingredient","",""
"165","BICALUTAMIDE","141",1,"BICALUTAMIDE","BICALUTAMIDE","BICALUTAMIDE","A0Z3NAU9DP","A0Z3NAU9DP","BICALUTAMIDE","Active Ingredient","",""
"166","BILE SALTS","3671",1,"BILE SALTS","BILE SALTS","BILE SALTS",NA,NA,NA,NA,NA,NA
"167","BIMATOPROST","12108",1,"BIMATOPROST","BIMATOPROST","BIMATOPROST","QXS94885MZ","QXS94885MZ","BIMATOPROST","Active Ingredient","",""
"168","BIOTIN","4962",1,"BIOTIN","BIOTIN","BIOTIN","6SO6U10H04","6SO6U10H04","BIOTIN","Active Ingredient","",""
"169","BISACODYL","10193",1,"BISACODYL","BISACODYL","BISACODYL","10X0709Y6I","10X0709Y6I","BISACODYL","Active Ingredient","",""
"170","BISMUTH DIPROPYLACETATE","4161",1,"BISMUTH DIPROPYLACETATE","BISMUTH DIPROPYLACETATE","BISMUTH DIPROPYLACETATE",NA,NA,NA,NA,NA,NA
"171","BISMUTH SUBGALLATE","7149",1,"BISMUTH SUBGALLATE","BISMUTH SUBGALLATE","BISMUTH SUBGALLATE","YIW503MI7V","ZS9CD1I8YE","BISMUTH CATION","","",""
"172","BISMUTH SUBSALICYLATE","6404",1,"BISMUTH SUBSALICYLATE","BISMUTH SUBSALICYLATE","BISMUTH SUBSALICYLATE","62TEY51RR1","O414PZ4LPZ","SALICYLIC ACID","Active Ingredient","",""
"173","BISMUTH SUBSALICYLATE","6404",1,"BISMUTH SUBSALICYLATE","BISMUTH SUBSALICYLATE","BISMUTH SUBSALICYLATE","62TEY51RR1","ZS9CD1I8YE","BISMUTH CATION","Active Ingredient","",""
"174","BISOCTRIZOLE","20446",1,"BISOCTRIZOLE","BISOCTRIZOLE","BISOCTRIZOLE","8NT850T0YS","8NT850T0YS","BISOCTRIZOLE","Active Ingredient","",""
"175","BISOPROLOL FUMARATE","1218",1,"BISOPROLOL FUMARATE","BISOPROLOL FUMARATE","BISOPROLOL FUMARATE","UR59KN573L","Y41JS2NL6U","BISOPROLOL","Active Ingredient","",""
"176","BIVALIRUDIN","12945",1,"BIVALIRUDIN","BIVALIRUDIN","BIVALIRUDIN","TN9BEX005G","TN9BEX005G","BIVALIRUDIN","Active Ingredient","",""
"177","BLEOMYCIN","11448",1,"BLEOMYCIN (BLEOMYCIN SULFATE)","BLEOMYCIN","BLEOMYCIN SULFATE","40S1VHN69B","40S1VHN69B","BLEOMYCIN","Active Ingredient","",""
"178","BLINATUMOMAB","22674",1,"BLINATUMOMAB","BLINATUMOMAB","BLINATUMOMAB","4FR53SIF3A","4FR53SIF3A","BLINATUMOMAB","Active Ingredient","",""
"179","BOCEPREVIR","20878",1,"BOCEPREVIR","BOCEPREVIR","BOCEPREVIR","89BT58KELH","89BT58KELH","BOCEPREVIR","Active Ingredient","",""
"180","BORTEZOMIB","13053",1,"BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)","BORTEZOMIB","BORTEZOMIB MANNITOL BORONIC ESTER","69G8BD63PP","69G8BD63PP","BORTEZOMIB","Active Ingredient","",""
"181","BOSENTAN","12538",1,"BOSENTAN (BOSENTAN MONOHYDRATE)","BOSENTAN","BOSENTAN MONOHYDRATE","Q326023R30","XUL93R30K2","BOSENTAN ANHYDROUS","Active Moiety","",""
"182","BOSUTINIB","22234",1,"Bosutinib","Bosutinib","Bosutinib","5018V4AEZ0","5018V4AEZ0","BOSUTINIB","Active Ingredient","",""
"183","BRENTUXIMAB VEDOTIN","21796",1,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","7XL5ISS668","7XL5ISS668","BRENTUXIMAB VEDOTIN","Active Ingredient","",""
"184","BRETYLIUM TOSYLATE","5917",1,"BRETYLIUM TOSYLATE","BRETYLIUM TOSYLATE","BRETYLIUM TOSYLATE","78ZP3YR353","RZR75EQ2KJ","BRETYLIUM","","",""
"185","BRIMONIDINE","22245",1,"BRIMONIDINE (BRIMONIDINE TARTRATE)","BRIMONIDINE","BRIMONIDINE TARTRATE","E6GNX3HHTE","E6GNX3HHTE","BRIMONIDINE","Active Ingredient","",""
"186","BRIMONIDINE TARTRATE","11710",1,"BRIMONIDINE TARTRATE","BRIMONIDINE TARTRATE","BRIMONIDINE TARTRATE","4S9CL2DY2H","E6GNX3HHTE","BRIMONIDINE","Active Ingredient","",""
"187","BRIMONIDINE TARTRATE","11710",1,"BRIMONIDINE TARTRATE","BRIMONIDINE TARTRATE","BRIMONIDINE TARTRATE","4S9CL2DY2H","E6GNX3HHTE","BRIMONIDINE","Active Moiety","",""
"188","BRINZOLAMIDE","11799",1,"BRINZOLAMIDE","BRINZOLAMIDE","BRINZOLAMIDE","9451Z89515","9451Z89515","BRINZOLAMIDE","Active Ingredient","",""
"189","BRIVARACETAM","22702",1,"BRIVARACETAM","BRIVARACETAM","BRIVARACETAM","U863JGG2IA","U863JGG2IA","BRIVARACETAM","Active Ingredient","",""
"190","BROMAZEPAM","2007",1,"BROMAZEPAM","BROMAZEPAM","BROMAZEPAM","X015L14V0O","X015L14V0O","BROMAZEPAM","Active Ingredient","",""
"191","BROMFENAC","22591",1,"Bromfenac (Bromfenac sodium sesquihydrate)","Bromfenac","Bromfenac sodium sesquihydrate","864P0921DW","864P0921DW","BROMFENAC","Active Ingredient","",""
"192","BROMOCRIPTINE","11220",1,"BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)","BROMOCRIPTINE","BROMOCRIPTINE MESYLATE","3A64E3G5ZO","3A64E3G5ZO","BROMOCRIPTINE","Active Ingredient","",""
"193","BROMPHENIRAMINE MALEATE","10205",1,"BROMPHENIRAMINE MALEATE","BROMPHENIRAMINE MALEATE","BROMPHENIRAMINE MALEATE","IXA7C9ZN03","H57G17P2FN","BROMPHENIRAMINE","Active Ingredient","",""
"194","BRONOPOL","3975",1,"BRONOPOL","BRONOPOL","BRONOPOL","6PU1E16C9W","6PU1E16C9W","BRONOPOL","Active Ingredient","",""
"195","BUDESONIDE","7581",1,"BUDESONIDE","BUDESONIDE","BUDESONIDE","Q3OKS62Q6X","Q3OKS62Q6X","BUDESONIDE","Active Ingredient","",""
"196","BUFFER SOLUTION","450",1,"BUFFER SOLUTION","BUFFER SOLUTION","BUFFER SOLUTION",NA,NA,NA,NA,NA,NA
"197","BUMETANIDE","1374",1,"BUMETANIDE","BUMETANIDE","BUMETANIDE","0Y2S3XUQ5H","0Y2S3XUQ5H","BUMETANIDE","Active Ingredient","",""
"198","BUPIVACAINE HYDROCHLORIDE","2493",1,"BUPIVACAINE HYDROCHLORIDE","BUPIVACAINE HYDROCHLORIDE","BUPIVACAINE HYDROCHLORIDE","7TQO7W3VT8","Y8335394RO","BUPIVACAINE","Reference Drug","AKA908P8J1","BUPIVACAINE HYDROCHLORIDE ANHYDROUS"
"199","BUPRENORPHINE","12033",2,"BUPRENORPHINE|BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE)","BUPRENORPHINE","BUPRENORPHINE HYDROCHLORIDE","40D3SCR4GZ","40D3SCR4GZ","BUPRENORPHINE","Active Ingredient","",""
"200","BUPROPION HYDROCHLORIDE","11772",1,"BUPROPION HYDROCHLORIDE","BUPROPION HYDROCHLORIDE","BUPROPION HYDROCHLORIDE","ZG7E5POY8O","01ZG3TPX31","BUPROPION","Active Ingredient","",""
"201","BUSERELIN","11250",1,"BUSERELIN (BUSERELIN ACETATE)","BUSERELIN","BUSERELIN ACETATE","PXW8U3YXDV","PXW8U3YXDV","BUSERELIN","Active Ingredient","",""
"202","BUSPIRONE HYDROCHLORIDE","1890",1,"BUSPIRONE HYDROCHLORIDE","BUSPIRONE HYDROCHLORIDE","BUSPIRONE HYDROCHLORIDE","207LT9J9OC","TK65WKS8HL","BUSPIRONE","Active Ingredient","",""
"203","BUSULFAN","9556",1,"BUSULFAN","BUSULFAN","BUSULFAN","G1LN9045DK","G1LN9045DK","BUSULFAN","Active Ingredient","",""
"204","BUTALBITAL","8231",1,"BUTALBITAL","BUTALBITAL","BUTALBITAL","KHS0AZ4JVK","KHS0AZ4JVK","BUTALBITAL","Active Ingredient","",""
"205","BUTAMBEN","5954",1,"BUTAMBEN","BUTAMBEN","BUTAMBEN","EFW857872Q","EFW857872Q","BUTAMBEN","Active Ingredient","",""
"206","BUTANEDIOL","12774",1,"BUTANEDIOL","BUTANEDIOL","BUTANEDIOL",NA,NA,NA,NA,NA,NA
"207","BUTORPHANOL TARTRATE","2142",1,"BUTORPHANOL TARTRATE","BUTORPHANOL TARTRATE","BUTORPHANOL TARTRATE","2L7I72RUHN","QV897JC36D","BUTORPHANOL","Active Ingredient","",""
"208","C1 ESTERASE INHIBITOR","20597",1,"C1 Esterase Inhibitor (Human)","C1 Esterase Inhibitor","Human",NA,NA,NA,NA,NA,NA
"209","CABAZITAXEL","20792",1,"CABAZITAXEL","CABAZITAXEL","CABAZITAXEL","51F690397J","51F690397J","CABAZITAXEL","Active Ingredient","",""
"210","CABERGOLINE","12006",1,"CABERGOLINE","CABERGOLINE","CABERGOLINE","LL60K9J05T","LL60K9J05T","CABERGOLINE","Active Ingredient","",""
"211","CAFFEINE","9358",1,"CAFFEINE","CAFFEINE","CAFFEINE","3G6A5W338E","3G6A5W338E","CAFFEINE","Active Ingredient","",""
"212","CAFFEINE CITRATE","9357",1,"CAFFEINE CITRATE","CAFFEINE CITRATE","CAFFEINE CITRATE","U26EO4675Q","3G6A5W338E","CAFFEINE","Active Ingredient","",""
"213","CALAMINE","7296",1,"CALAMINE","CALAMINE","CALAMINE",NA,NA,NA,NA,NA,NA
"214","CALCIPOTRIOL","894",2,"CALCIPOTRIOL|CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)","CALCIPOTRIOL","CALCIPOTRIOL MONOHYDRATE",NA,NA,NA,NA,NA,NA
"215","CALCITONIN","13186",1,"CALCITONIN (SALMON SYNTHETIC)","CALCITONIN","SALMON SYNTHETIC",NA,NA,NA,NA,NA,NA
"216","CALCITRIOL","4893",1,"CALCITRIOL","CALCITRIOL","CALCITRIOL","FXC9231JVH","FXC9231JVH","CALCITRIOL","Active Ingredient","",""
"217","CALCIUM","4803",1,"CALCIUM (CALCIUM CARBONATE)","CALCIUM","CALCIUM CARBONATE","SY7Q814VUP","SY7Q814VUP","CALCIUM","Active Ingredient","",""
"218","CALCIUM ACETATE","4810",1,"CALCIUM ACETATE","CALCIUM ACETATE","CALCIUM ACETATE","Y882YXF34X","2M83C4R6ZB","CALCIUM CATION","Active Ingredient","",""
"219","CALCIUM CARBONATE","671",1,"CALCIUM CARBONATE","CALCIUM CARBONATE","CALCIUM CARBONATE","H0G9379FGK","2M83C4R6ZB","CALCIUM CATION","Active Moiety","",""
"220","CALCIUM CARBONATE","671",1,"CALCIUM CARBONATE","CALCIUM CARBONATE","CALCIUM CARBONATE","H0G9379FGK","2M83C4R6ZB","CALCIUM CATION","Active Ingredient","",""
"221","CALCIUM CARBONATE","671",1,"CALCIUM CARBONATE","CALCIUM CARBONATE","CALCIUM CARBONATE","H0G9379FGK","7UJQ5OPE7D","CARBONATE ION","Active Ingredient","",""
"222","CALCIUM CHLORIDE","51",1,"CALCIUM CHLORIDE","CALCIUM CHLORIDE","CALCIUM CHLORIDE","M4I0D6VV5M","2M83C4R6ZB","CALCIUM CATION","Active Ingredient","",""
"223","CALCIUM CHLORIDE","51",1,"CALCIUM CHLORIDE","CALCIUM CHLORIDE","CALCIUM CHLORIDE","M4I0D6VV5M","Q32ZN48698","CHLORIDE ION","Active Ingredient","",""
"224","CALCIUM GLUCONATE","4808",1,"CALCIUM GLUCONATE","CALCIUM GLUCONATE","CALCIUM GLUCONATE","SQE6VB453K","2M83C4R6ZB","CALCIUM CATION","Active Ingredient","",""
"225","CALCIUM GLYCEROPHOSPHATE","4775",1,"CALCIUM GLYCEROPHOSPHATE","CALCIUM GLYCEROPHOSPHATE","CALCIUM GLYCEROPHOSPHATE","XWV9Z12C1C","2M83C4R6ZB","CALCIUM CATION","Active Ingredient","",""
"226","CALCIUM LEVULINATE","4809",1,"CALCIUM LEVULINATE","CALCIUM LEVULINATE","CALCIUM LEVULINATE",NA,NA,NA,NA,NA,NA
"227","CALCIUM POLYCARBOPHIL","9921",1,"CALCIUM POLYCARBOPHIL","CALCIUM POLYCARBOPHIL","CALCIUM POLYCARBOPHIL","8F049NKY49","W25LM17A4W","POLYCARBOPHIL","Active Ingredient","",""
"228","CALCIUM POLYSTYRENE SULFONATE","2089",1,"CALCIUM POLYSTYRENE SULFONATE","CALCIUM POLYSTYRENE SULFONATE","CALCIUM POLYSTYRENE SULFONATE",NA,NA,NA,NA,NA,NA
"229","CALCIUM SACCHARATE","18176",1,"CALCIUM SACCHARATE","CALCIUM SACCHARATE","CALCIUM SACCHARATE",NA,NA,NA,NA,NA,NA
"230","CAMPHOR","9125",1,"CAMPHOR","CAMPHOR","CAMPHOR",NA,NA,NA,NA,NA,NA
"231","CANAGLIFLOZIN","22295",1,"Canagliflozin","Canagliflozin","Canagliflozin","0SAC974Z85","6S49DGR869","CANAGLIFLOZIN ANHYDROUS","Active Moiety","",""
"232","CANAKINUMAB","20575",1,"CANAKINUMAB","CANAKINUMAB","CANAKINUMAB","37CQ2C7X93","37CQ2C7X93","CANAKINUMAB","Active Ingredient","",""
"233","CANDESARTAN CILEXETIL","11814",1,"CANDESARTAN CILEXETIL","CANDESARTAN CILEXETIL","CANDESARTAN CILEXETIL","R85M2X0D68","S8Q36MD2XX","CANDESARTAN","Active Ingredient","",""
"234","CANNABIDIOL","14448",1,"CANNABIDIOL (CANNABIS SATIVA EXTRACT)","CANNABIDIOL","CANNABIS SATIVA EXTRACT","19GBJ60SN5","19GBJ60SN5","CANNABIDIOL","Active Ingredient","",""
"235","CANTHARIDIN","4322",1,"CANTHARIDIN","CANTHARIDIN","CANTHARIDIN","IGL471WQ8P","IGL471WQ8P","CANTHARIDIN","Active Ingredient","",""
"236","CAPECITABINE","11787",1,"CAPECITABINE","CAPECITABINE","CAPECITABINE","6804DJ8Z9U","6804DJ8Z9U","CAPECITABINE","Active Ingredient","",""
"237","CAPSAICIN","3610",1,"CAPSAICIN","CAPSAICIN","CAPSAICIN","S07O44R1ZM","S07O44R1ZM","CAPSAICIN","Active Ingredient","",""
"238","CAPTOPRIL","1983",1,"CAPTOPRIL","CAPTOPRIL","CAPTOPRIL","9G64RSX1XD","9G64RSX1XD","CAPTOPRIL","Active Ingredient","",""
"239","CARBACHOL","9622",1,"CARBACHOL","CARBACHOL","CARBACHOL","8Y164V895Y","54Z8M50D6Q","CARBAMOYLCHOLINE","Active Ingredient","",""
"240","CARBAMAZEPINE","4182",1,"CARBAMAZEPINE","CARBAMAZEPINE","CARBAMAZEPINE","33CM23913M","33CM23913M","CARBAMAZEPINE","Active Ingredient","",""
"241","CARBETOCIN","11460",1,"CARBETOCIN","CARBETOCIN","CARBETOCIN","88TWF8015Y","88TWF8015Y","CARBETOCIN","Active Ingredient","",""
"242","CARBIDOPA","2370",2,"CARBIDOPA|CARBIDOPA (CARBIDOPA MONOHYDRATE)","CARBIDOPA","CARBIDOPA MONOHYDRATE","MNX7R8C5VO","KR87B45RGH","CARBIDOPA ANHYDROUS","Active Moiety","",""
"243","CARBON DIOXIDE","2335",1,"CARBON DIOXIDE","CARBON DIOXIDE","CARBON DIOXIDE","142M471B3J","142M471B3J","CARBON DIOXIDE","Active Ingredient","",""
"244","CARBON MONOXIDE","1938",1,"CARBON MONOXIDE","CARBON MONOXIDE","CARBON MONOXIDE","7U1EE4V452","7U1EE4V452","CARBON MONOXIDE","Active Ingredient","",""
"245","CARBOPLATIN","1755",1,"CARBOPLATIN","CARBOPLATIN","CARBOPLATIN","BG3F62OND5","BG3F62OND5","CARBOPLATIN","Active Ingredient","",""
"246","CARBOPROST","11320",1,"CARBOPROST (CARBOPROST TROMETHAMINE)","CARBOPROST","CARBOPROST TROMETHAMINE","7B5032XT6O","7B5032XT6O","CARBOPROST","Active Ingredient","",""
"247","CARFILZOMIB","22678",1,"CARFILZOMIB","CARFILZOMIB","CARFILZOMIB","72X6E3J5AR","72X6E3J5AR","CARFILZOMIB","Active Ingredient","",""
"248","CARGLUMIC ACID","22593",1,"Carglumic Acid","Carglumic Acid","Carglumic Acid","5L0HB4V1EW","5L0HB4V1EW","CARGLUMIC ACID","Active Ingredient","",""
"249","CARMUSTINE","2418",1,"CARMUSTINE","CARMUSTINE","CARMUSTINE","U68WG3173Y","U68WG3173Y","CARMUSTINE","Active Ingredient","",""
"250","CARVEDILOL","1188",1,"CARVEDILOL","CARVEDILOL","CARVEDILOL","0K47UL67F2","0K47UL67F2","CARVEDILOL","Active Ingredient","",""
"251","CASPOFUNGIN","12330",1,"CASPOFUNGIN (CASPOFUNGIN ACETATE)","CASPOFUNGIN","CASPOFUNGIN ACETATE","F0XDI6ZL63","F0XDI6ZL63","CASPOFUNGIN","Active Ingredient","",""
"252","CAT (FELIS DOMESTICUS) PELT AND CAT DANDER","11833",1,"CAT (FELIS DOMESTICUS) PELT AND CAT DANDER","CAT (FELIS DOMESTICUS) PELT AND CAT DANDER","FELIS DOMESTICUS",NA,NA,NA,NA,NA,NA
"253","CATRIDECACOG","21399",1,"Catridecacog","Catridecacog","Catridecacog",NA,NA,NA,NA,NA,NA
"254","CEFACLOR","2098",1,"CEFACLOR","CEFACLOR","CEFACLOR","69K7K19H4L","3Z6FS3IK0K","CEFACLOR ANHYDROUS","Active Moiety","",""
"255","CEFADROXIL","8348",2,"CEFADROXIL|CEFADROXIL (CEFADROXIL MONOHYDRATE)","CEFADROXIL","CEFADROXIL MONOHYDRATE","280111G160","Q525PA8JJB","CEFADROXIL ANHYDROUS","Active Moiety","",""
"256","CEFAZOLIN","11180",1,"CEFAZOLIN (CEFAZOLIN SODIUM)","CEFAZOLIN","CEFAZOLIN SODIUM","IHS69L0Y4T","IHS69L0Y4T","CEFAZOLIN","Active Ingredient","",""
"257","CEFEPIME","11359",1,"CEFEPIME (CEFEPIME HYDROCHLORIDE)","CEFEPIME","CEFEPIME HYDROCHLORIDE","807PW4VQE3","807PW4VQE3","CEFEPIME","Active Ingredient","",""
"258","CEFIXIME","1236",1,"CEFIXIME","CEFIXIME","CEFIXIME","97I1C92E55","XZ7BG04GJX","CEFIXIME ANHYDROUS","Active Moiety","",""
"259","CEFOTAXIME","11268",1,"CEFOTAXIME (CEFOTAXIME SODIUM)","CEFOTAXIME","CEFOTAXIME SODIUM","N2GI8B1GK7","N2GI8B1GK7","CEFOTAXIME","Active Ingredient","",""
"260","CEFOTAXIME SODIUM","8349",1,"CEFOTAXIME SODIUM","CEFOTAXIME SODIUM","CEFOTAXIME SODIUM","258J72S7TZ","N2GI8B1GK7","CEFOTAXIME","Active Moiety","",""
"261","CEFOXITIN","11254",1,"CEFOXITIN (CEFOXITIN SODIUM)","CEFOXITIN","CEFOXITIN SODIUM","6OEV9DX57Y","6OEV9DX57Y","CEFOXITIN","Active Ingredient","",""
"262","CEFPROZIL","188",2,"CEFPROZIL|CEFPROZIL (CEFPROZIL MONOHYDRATE)","CEFPROZIL","CEFPROZIL MONOHYDRATE","4W0459ZA4V","1M698F4H4E","CEFPROZIL ANHYDROUS","Active Moiety","",""
"263","CEFTAZIDIME","8344",2,"CEFTAZIDIME|CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)","CEFTAZIDIME","CEFTAZIDIME PENTAHYDRATE","9M416Z9QNR","DZR1ENT301","CEFTAZIDIME ANHYDROUS","Active Moiety","",""
"264","CEFTOLOZANE","22645",1,"CEFTOLOZANE (CEFTOLOZANE SULFATE)","CEFTOLOZANE","CEFTOLOZANE SULFATE",NA,NA,NA,NA,NA,NA
"265","CEFTRIAXONE","11309",1,"CEFTRIAXONE (CEFTRIAXONE SODIUM)","CEFTRIAXONE","CEFTRIAXONE SODIUM","75J73V1629","75J73V1629","CEFTRIAXONE","Active Ingredient","",""
